Satellite states as KEPLERIAN_EARTH_CENTERED_INERTIAL elements.
Epoch [JDUT1] is 2458849.5
Step size [s] is 30.46533781725041
Mission Duration [Days] is 1.0
time index,sma [km],ecc,inc [deg],raan [deg],aop [deg],ta [deg]
0,7078.000000000004,0.010000000000000437,67.0,0.0,0.0,0.0
1,7078.000000000002,0.01000000000000028,67.0,359.9990462534378,359.99971118337936,1.8874816079459433
2,7078.000000000001,0.010000000000000177,67.0,359.99809250668454,359.9994223642349,3.774922666390138
3,7078.000000000001,0.010000000000000064,67.0,359.9971387596763,359.99913354593167,5.662282674610187
4,7078.0,0.010000000000000118,67.0,359.9961850130819,359.99884472846975,7.5495212293799066
5,7078.000000000005,0.010000000000000548,67.0,359.99523126642356,359.99855591083957,9.436598073512723
6,7078.000000000005,0.010000000000000538,67.0,359.99427751966937,359.99826709270457,11.323473144148842
7,7078.000000000001,0.01000000000000026,67.0,359.99332377291466,359.99797827446145,13.210106620766783
8,7078.000000000001,0.010000000000000193,66.99999999999999,359.99237002620737,359.9976894569394,15.096458972727833
9,7078.000000000003,0.010000000000000524,67.0,359.99141627948893,359.99740063891653,16.98249100643247
10,7078.0,0.010000000000000033,67.0,359.9904625328006,359.9971118213003,18.868163911816378
11,7078.000000000006,0.01000000000000079,67.0,359.9895087860646,359.99682300329147,20.753439308340234
12,7078.000000000003,0.010000000000000422,67.0,359.98855503932447,359.99653418530363,22.638279290172562
13,7078.0000000000055,0.010000000000000528,67.0,359.9876012925807,359.99624536733194,24.52264647067973
14,7078.000000000005,0.010000000000000743,67.0,359.9866475458613,359.9959565495532,26.40650402603002
15,7078.000000000005,0.010000000000000718,67.0,359.9856937991612,359.9956677317606,28.289815737926457
16,7077.999999999999,0.009999999999999877,67.0,359.98474005242866,359.9953789136412,30.172546035355964
17,7078.0,0.009999999999999959,67.0,359.98378630569175,359.9950900959208,32.05466003531723
18,7078.000000000003,0.010000000000000153,67.0,359.9828325589721,359.9948012780421,33.936123582455096
19,7078.000000000003,0.010000000000000444,67.0,359.98187881226687,359.99451246016287,35.81690328756372
20,7078.000000000001,0.01000000000000018,67.0,359.98092506553525,359.99422364222016,37.696966564884704
21,7078.0000000000055,0.010000000000000802,67.0,359.97997131881726,359.9939348243433,39.57628166819216
22,7078.000000000006,0.010000000000000682,67.0,359.97901757211076,359.99364600658043,41.45481772554296
23,7078.000000000005,0.010000000000000803,67.0,359.9780638253808,359.9933571885877,43.33254477275827
24,7078.000000000001,0.00999999999999997,67.0,359.97711007866195,359.9930683707618,45.20943378546244
25,7078.000000000002,0.010000000000000543,67.0,359.97615633192197,359.99277955277984,47.08545670980565
26,7078.000000000001,0.010000000000000606,67.0,359.97520258522195,359.9924907350481,48.960586491663555
27,7078.0000000000055,0.010000000000000566,67.0,359.9742488385005,359.99220191711817,50.83479710443835
28,7078.000000000003,0.010000000000000354,67.0,359.97329509177337,359.99191309919155,52.70806357534732
29,7078.000000000004,0.010000000000000194,67.00000000000001,359.972341345054,359.99162428126783,54.58036201017328
30,7078.000000000004,0.010000000000000332,67.0,359.9713875983159,359.9913354634309,56.451669616539974
31,7078.000000000002,0.009999999999999934,67.0,359.97043385159776,359.99104664550947,58.32196472559513
32,7078.000000000004,0.010000000000000314,67.0,359.9694801048853,359.99075782766926,60.19122681216184
33,7078.000000000003,0.009999999999999712,67.0,359.9685263581547,359.9904690097881,62.05943651331644
34,7078.000000000003,0.010000000000000675,67.0,359.967572611441,359.99018019190686,63.92657564541318
35,7078.000000000001,0.009999999999999867,67.0,359.9666188647207,359.9898913740253,65.79262721949618
36,7078.0,0.010000000000000155,67.0,359.96566511799415,359.98960255614355,67.6575754552074
37,7078.000000000001,0.009999999999999756,67.0,359.96471137126144,359.98931373822757,69.52140579305868
38,7078.0000000000055,0.010000000000000503,67.0,359.963757624543,359.98902492034637,71.38410490519755
39,7078.000000000001,0.009999999999999789,67.0,359.9628038778277,359.9887361024974,73.24566070459677
40,7078.000000000001,0.009999999999999926,67.0,359.961850131096,359.98844728464655,75.10606235270556
41,7078.0,0.009999999999999907,67.0,359.96089638436735,359.98815846664013,76.96530026559677
42,7077.999999999998,0.00999999999999992,67.0,359.95994263765954,359.9878696488498,78.82336611859242
43,7078.000000000001,0.010000000000000214,67.0,359.9589888909352,359.98758083093765,80.68025284940487
44,7078.0,0.0099999999999997,67.0,359.95803514421283,359.987292013084,82.53595465982869
45,7078.000000000004,0.009999999999999969,67.0,359.9570813974833,359.9870031951729,84.39046701595952
46,7078.000000000003,0.010000000000000417,67.0,359.9561276507636,359.98671437726284,86.24378664703885
47,7078.000000000004,0.010000000000000194,67.0,359.95517390404467,359.9864255593806,88.09591154286512
48,7077.999999999997,0.010000000000000406,67.0,359.9542201573102,359.98613674152455,89.94684094987963
49,7078.000000000003,0.010000000000000623,67.0,359.9532664106,359.9858479236414,91.79657536589164
50,7078.000000000005,0.01000000000000038,67.0,359.95231266386645,359.98555910573293,93.64511653354342
51,7078.000000000001,0.010000000000000635,67.0,359.95135891714807,359.98527028784997,95.4924674324539
52,7078.000000000003,0.010000000000000172,67.0,359.9504051704218,359.98498146996695,97.33863227016369
53,7078.000000000002,0.01000000000000077,67.0,359.94945142370216,359.98469265205983,99.1836164718763
54,7078.000000000003,0.009999999999999626,66.99999999999999,359.9484976769815,359.98440383420024,101.0274266690142
55,7078.000000000004,0.010000000000000116,67.0,359.94754393025954,359.98411501631665,102.87007068665551
56,7078.000000000004,0.010000000000000281,67.0,359.94659018354304,359.9838261984554,104.71155752987865
57,7078.000000000004,0.009999999999999221,67.0,359.9456364368113,359.983537380549,106.55189736903479
58,7078.000000000005,0.009999999999999329,67.0,359.9446826900911,359.9832485626432,108.39110152399293
59,7078.0,0.01000000000000024,67.0,359.9437289433688,359.9829597447807,110.22918244742212
60,7078.000000000003,0.010000000000000286,67.0,359.94277519664416,359.98267092685427,112.06615370708865
61,7078.000000000003,0.009999999999999606,67.0,359.9418214499232,359.9823821089911,113.90202996726335
62,7077.999999999995,0.010000000000000455,67.0,359.9408677032057,359.98209329110676,115.73682696923315
63,7078.000000000006,0.009999999999999563,67.0,359.93991395647294,359.9818044732222,117.57056151096127
64,7077.999999999999,0.01000000000000064,67.0,359.9389602097552,359.9815156553178,119.40325142598833
65,7078.000000000005,0.00999999999999927,67.0,359.9380064630398,359.9812268374527,121.23491556147577
66,7078.000000000003,0.009999999999999428,67.0,359.9370527163148,359.98093801956776,123.06557375558143
67,7077.999999999999,0.01000000000000112,67.0,359.9360989695918,359.9806492017013,124.89524681409314
68,7078.0,0.010000000000000342,67.0,359.93514522285915,359.98036038376,126.72395648641624
