routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,7
__check_action_completion,0.0,0.0,0.0,7
preplanner/__get_new_requests,0.0,0.0,0.0,7
preplanner/__update_performed_requests,0.0,0.0,0.0,7
preplanner/_update_access_times,0.007,0.016,0.0,7
preplanner/needs_planning,0.0,0.0,0.0,7
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.024,0.0,0.024,1
preplanner/_schedule_broadcasts,0.007,0.004,0.007,2
preplanner/_schedule_maneuvers,0.003,0.0,0.003,1
preplanner/__schedule_periodic_replan,0.001,0.0,0.001,1
preplanner/generate_plan,0.038,0.0,0.038,1
replanner/__get_new_requests,0.0,0.0,0.0,7
replanner/__update_performed_requests,0.0,0.0,0.0,7
replanner/_update_access_times,1.489,3.61,0.0,7
replanner/check_request_completion,0.0,0.0,0.0,7
replanner/check_request_end_time,0.0,0.0,0.0,7
replanner/compare_bids,0.002,0.002,0.0,7
replanner/planning_phase,0.023,0.018,0.023,2
replanner/_schedule_broadcasts,0.003,0.0,0.003,2
replanner/_schedule_maneuvers,0.003,0.0,0.003,2
