observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
therm_sat_0_0,100.0,65.6,4.2,711.2,-6.14,6.82,,thermal
sar_sat_0_0,470.0,-25.3,90.2,765.4,4.94,5.54,79.2,sar
therm_sat_0_0,520.0,51.2,43.9,744.3,-8.01,8.95,,thermal
sar_sat_0_0,550.0,-29.6,92.2,761.7,4.46,4.99,75.8,sar
vis_sat_0_1,600.0,-48.3,-128.8,673.2,-11.94,13.19,48.59,visual
sar_sat_0_0,960.0,-50.7,107.5,738.0,1.89,2.11,59.38,sar
sar_sat_0_0,1490.0,-65.8,162.0,713.8,10.71,11.9,43.5,sar
therm_sat_0_0,1690.0,-9.6,78.9,798.7,14.73,16.56,,thermal
vis_sat_0_1,2180.0,40.0,-88.4,648.9,-0.21,0.23,,visual
sar_sat_0_0,2190.0,-42.2,-134.4,675.5,14.42,15.94,48.38,sar
therm_sat_0_0,2780.0,-65.0,124.8,742.2,-14.56,16.24,50.74,thermal
vis_sat_0_0,3020.0,-3.8,66.8,799.8,-14.68,16.5,,visual
sar_sat_0_0,3110.0,8.5,-110.3,634.6,6.65,7.31,85.95,sar
vis_sat_0_1,3210.0,60.5,13.1,736.8,-11.58,12.91,,visual
sar_sat_0_0,3360.0,22.9,-105.3,649.1,11.28,12.42,,sar
sar_sat_0_0,3470.0,28.8,-101.9,642.1,5.21,5.74,,sar
vis_sat_0_0,3800.0,-43.9,90.4,764.2,12.14,13.58,63.37,visual
vis_sat_0_0,4440.0,-68.5,147.0,724.3,-13.8,15.35,46.4,visual
vis_sat_0_1,4670.0,-13.5,65.3,772.6,-5.67,6.35,,visual
vis_sat_0_1,4890.0,-25.5,70.0,768.2,-6.62,7.41,80.64,visual
vis_sat_0_1,4990.0,-30.8,72.6,763.3,-5.98,6.7,76.32,visual
sar_sat_0_0,4990.0,50.7,30.6,759.7,12.7,14.21,,sar
vis_sat_0_0,5220.0,-39.1,-143.8,659.3,9.9,10.92,50.65,visual
vis_sat_0_1,6170.0,-61.9,176.5,695.1,10.91,12.09,41.51,visual
therm_sat_0_0,6470.0,51.2,22.0,741.0,5.2,5.81,,thermal
vis_sat_0_0,7290.0,65.0,-55.6,707.2,-11.46,12.72,,visual
vis_sat_0_1,7410.0,1.2,-131.3,631.4,4.63,5.09,80.18,visual
vis_sat_0_0,7770.0,56.9,2.4,748.7,-13.15,14.68,,visual
vis_sat_0_1,8250.0,48.0,-109.0,672.9,11.93,13.19,,visual
vis_sat_0_1,8770.0,67.6,-60.9,706.6,10.76,11.95,,visual
vis_sat_0_0,9500.0,-32.3,57.1,770.4,10.22,11.45,73.2,visual
sar_sat_0_0,10610.0,63.1,-19.1,721.3,5.16,5.75,,sar
therm_sat_0_0,11690.0,64.1,-83.5,694.4,-8.12,9.0,,thermal
