routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.0023,0.02184,3e-05,12044,27.7012
__check_action_completion,0.00015,0.00095,9e-05,12044,1.8065999999999998
update_action_completion,0.00246,0.0178,0.0003,12044,29.628239999999998
get_plan_out,0.006,0.02005,0.00034,12044,72.264
preplanner/update_percepts,0.00155,0.01275,0.00011,12044,18.6682
preplanner/needs_planning,5e-05,0.00192,0.0,12044,0.6022000000000001
preplanner/calculate_access_opportunities,0.01507,0.0,0.01507,1,0.01507
preplanner/_schedule_observations,1.24007,0.0,1.24007,1,1.24007
preplanner/is_observation_path_valid,0.00073,0.0,0.00073,1,0.00073
preplanner/_create_broadcast_path,0.03126,0.0,0.03126,1,0.03126
preplanner/_schedule_broadcasts,1.86703,0.0,1.86703,1,1.86703
preplanner/_schedule_maneuvers,0.63675,0.0,0.63675,1,0.63675
preplanner/__schedule_periodic_replan,0.03151,0.0,0.03151,1,0.03151
preplanner/generate_plan,3.85616,0.0,3.85616,1,3.85616
replanner/needs_planning,3e-05,0.00114,0.0,12044,0.36132000000000003
reward_grid/update,0.00097,0.00982,1e-05,12045,11.68365
reward_grid/__get_target_indeces,0.00024,0.00446,1e-05,4436,1.06464
reward_grid/propagate_reward,0.00065,0.00829,3e-05,8872,5.7668
reward_grid/update_observation,0.00256,0.01595,0.00014,4435,11.3536
reward_grid/update_event,0.01092,0.0,0.01092,1,0.01092
reward_grid/get_history,0.61757,0.0,0.61757,1,0.61757
