routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.012,0.0,12045,24.775096592125923
update_state,0.001,0.005,0.0,12045,8.803443284410605
sense_environment,0.183,0.162,0.139,12044,2207.2722662113265
update_state_environment,0.002,0.012,0.0,12044,23.106758286910917
get_environment_broadcasts,0.001,0.009,0.0,12044,13.367475327162538
get_agent_broadcasts,0.014,0.038,0.0,12044,173.0393896299538
sense,0.204,0.169,0.159,12044,2456.316814531281
think,0.231,0.242,0.134,12044,2777.4246463837408
perform_broadcast,0.009,0.02,0.001,364,3.262157053002739
do,0.182,0.181,0.127,12044,2190.8791666682773
perform_wait_for_messages,0.182,0.182,0.127,11680,2129.2372191883333
perform_state_change,0.178,0.171,0.122,568,101.07614955705503
perform_observation,0.145,0.151,0.096,363,52.613737647010566
