routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00018,0.00239,2e-05,16465
__check_action_completion,6e-05,1e-05,6e-05,16465
preplanner/update_percepts,0.00012,6e-05,0.00014,16465
preplanner/needs_planning,0.0,0.0,0.0,16465
preplanner/calculate_access_opportunities,0.09707,0.0,0.09707,1
preplanner/_schedule_observations,0.93957,0.0,0.93957,1
preplanner/is_observation_path_valid,0.00096,0.0,0.00096,1
preplanner/_create_broadcast_path,0.29603,0.0,0.29603,1
preplanner/_schedule_broadcasts,2.35388,0.0,2.35388,1
preplanner/_schedule_maneuvers,1.02537,0.0,1.02537,1
preplanner/__schedule_periodic_replan,0.01195,0.0,0.01195,1
preplanner/generate_plan,4.36257,0.0,4.36257,1
replanner/compile_new_measurement_request_bids,6e-05,4e-05,6e-05,16465
replanner/update_percepts,0.00058,0.00341,0.00038,16465
replanner/check_request_completion,0.20656,0.22833,0.14543,16465
replanner/check_request_end_time,0.0,0.0,0.0,16465
replanner/compare_bids,0.15375,0.26525,0.06388,16465
replanner/consensus_phase,0.36033,0.42072,0.28784,16465
replanner/needs_planning,0.36038,0.4207,0.28785,16465
replanner/_get_available_requests,0.00328,0.02525,0.00109,498
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,140
replanner/_get_matching_request,1e-05,1e-05,1e-05,21007
replanner/_can_bid,0.0,0.0,0.0,17915
replanner/planning_phase,1.0537,2.51467,0.00179,116
replanner/is_observation_path_valid,0.00098,0.00693,0.00029,47971
replanner/merge_plans,0.32697,0.30312,0.2296,156
replanner/_schedule_observations,0.30998,0.31414,0.20167,116
replanner/_schedule_maneuvers,2.42484,2.15953,1.81937,116
replanner/_create_broadcast_path,0.10153,0.05974,0.07781,118
replanner/_schedule_broadcasts,0.10532,0.06015,0.08458,116
replanner/_schedule_waits,0.0,0.0,0.0,116
replanner/generate_plan,3.90776,3.34189,2.89517,116
replanner/_can_access,0.00271,0.0068,0.00129,267
replanner/calc_path_utility,1.49651,0.81892,1.4002,40
replanner/is_task_path_valid,0.01494,0.04903,0.00013,40
replanner/calc_imaging_time,0.0312,0.06597,0.00655,20
replanner/_generate_path,6.05421,2.43828,5.19346,20
