routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.017,0.052,0.0,428
__check_action_completion,0.0,0.005,0.0,428
preplanner/update_percepts,0.0,0.003,0.0,428
preplanner/needs_planning,0.0,0.001,0.0,428
preplanner/calculate_access_opportunities,0.105,0.098,0.076,70
preplanner/_schedule_observations,0.163,0.136,0.135,70
preplanner/is_observation_path_valid,0.0,0.0,0.0,70
preplanner/_schedule_broadcasts,0.082,0.144,0.0,70
preplanner/_schedule_maneuvers,0.0,0.0,0.0,70
preplanner/__schedule_periodic_replan,0.001,0.004,0.0,70
preplanner/generate_plan,0.247,0.235,0.15,70
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,428
replanner/update_percepts,0.001,0.006,0.0,428
replanner/check_request_completion,0.0,0.002,0.0,428
replanner/check_request_end_time,0.0,0.0,0.0,428
replanner/compare_bids,0.0,0.001,0.0,428
replanner/consensus_phase,0.0,0.002,0.0,428
replanner/is_observation_path_valid,0.0,0.001,0.0,2155
replanner/_get_available_requests,0.117,0.132,0.087,406
replanner/needs_planning,0.097,0.111,0.067,428
replanner/planning_phase,0.78,1.717,0.216,20
replanner/_schedule_observations,0.001,0.005,0.0,20
replanner/_schedule_maneuvers,0.013,0.033,0.001,20
replanner/_schedule_broadcasts,0.068,0.118,0.02,20
replanner/_schedule_waits,0.0,0.0,0.0,20
replanner/generate_plan,0.864,1.708,0.27,20
replanner/calc_imaging_time,0.189,0.142,0.127,19
