Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291923
Mission Duration [Days] is 0.03321077886481061
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,4289.099314701778,4214.440280634691,-3426.8583015310924,-1.794484826385069,-3.4683957263922243,-6.51152406494596
1,4287.556974966325,4211.463275930387,-3432.443726201816,-1.7989080161539757,-3.4727421073639912,-6.507986056336574
2,4286.01084131964,4208.482543036677,-3438.026112762028,-1.8033296121014424,-3.477085416134879,-6.504442287407557
3,4284.460915131578,4205.498084590499,-3443.6054562706895,-1.8077496103032091,-3.4814256488484663,-6.500892761305019
4,4282.907197775381,4202.509903232106,-3449.181751789443,-1.8121680068364299,-3.4857628016510507,-6.497337481180229
5,4281.34969062764,4199.518001605061,-3454.7549943826475,-1.8165847977796992,-3.4900968706917026,-6.493776450189583
6,4279.788395068324,4196.522382356228,-3460.325179117357,-1.82099997921304,-3.4944278521222256,-6.490209671494623
7,4278.223312480749,4193.523048135757,-3465.8923010633703,-1.8254135472179291,-3.498755742097198,-6.486637148262007
8,4276.654444251603,4190.520001597121,-3471.4563552931677,-1.8298254978772646,-3.503080536773941,-6.483058883663543
9,4275.081791770936,4187.513245397077,-3477.017336881978,-1.8342358272754031,-3.5074022323125456,-6.4794748808761575
10,4273.50535643214,4184.502782195671,-3482.5752409077586,-1.8386445314981534,-3.511720824875879,-6.475885143081895
11,4271.925139631987,4181.488614656246,-3488.130062451185,-1.8430516066327716,-3.5160363106295587,-6.472289673467936
12,4270.341142770587,4178.470745445437,-3493.6817965956743,-1.8474570487679696,-3.520348685741995,-6.4686884752265685
13,4268.753367251409,4175.449177233161,-3499.230438427398,-1.8518608539939225,-3.5246579463843664,-6.465081551555202
14,4267.161814481285,4172.423912692617,-3504.775983035259,-1.8562630184022773,-3.528964088730636,-6.461468905656352
15,4265.566485870388,4169.394954500295,-3510.31842551091,-1.8606635380861272,-3.5332671089575407,-6.4578505407376525
16,4263.967382832248,4166.362305335952,-3515.857760948765,-1.865062409140056,-3.5375670032446167,-6.45422646001184
17,4262.364506783738,4163.325967882636,-3521.393984445995,-1.8694596276601116,-3.54186376777419,-6.450596666696757
18,4260.7578591450965,4160.2859448266545,-3526.927091102525,-1.8738551897438267,-3.5461573987313684,-6.446961164015349
19,4259.147441339881,4157.242238857599,-3532.457076021073,-1.8782490914902121,-3.550447892304081,-6.443319955195649
20,4257.533254795025,4154.194852668329,-3537.9839343070907,-1.8826413289997561,-3.55473524468303,-6.439673043470804
21,4255.915300940782,4151.143788954962,-3543.5076610688475,-1.8870318983744543,-3.5590194520617513,-6.436020432079032
22,4254.293581210769,4148.0890504169,-3549.028251417349,-1.8914207957177656,-3.5633005106365574,-6.432362124263669
23,4252.668097041933,4145.030639756785,-3554.545700466428,-1.8958080171346783,-3.567578416606604,-6.428698123273108
24,4251.038849874557,4141.96855968053,-3560.060003332689,-1.9001935587316565,-3.5718531661738453,-6.425028432360834
25,4249.405841152289,4138.902812897313,-3565.571155135511,-1.9045774166166671,-3.5761247555430415,-6.421353054785437
26,4247.76907232208,4135.833402119555,-3571.0791509971064,-1.9089595868991978,-3.5803931809218073,-6.417671993810551
27,4246.128544834245,4132.7603300629335,-3576.583986042469,-1.9133400656902346,-3.584658438520557,-6.413985252704899
28,4244.48426014242,4129.683599446386,-3582.0856553993963,-1.9177188491022719,-3.5889205245525395,-6.410292834742281
29,4242.836219703588,4126.603212992079,-3587.58415419851,-1.922095933249338,-3.5931794352338366,-6.406594743201565
