routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,1731
_wait_for_messages,0.0,0.0,0.0,1731
_preplan,0.111,0.155,0.042,24
_get_next_actions,0.0,0.001,0.0,1731
_replan,0.013,0.0,0.013,1
preplanner/__get_new_requests,0.0,0.0,0.0,1731
preplanner/__update_performed_requests,0.0,0.001,0.0,1731
preplanner/_calc_arrival_times,0.276,1.012,0.245,2112
preplanner/__update_access_times,0.338,3.109,0.0,1731
preplanner/needs_initialized_plan,0.338,3.109,0.0,1731
preplanner/_get_available_requests,0.0,0.0,0.0,24
preplanner/_plan_from_path,0.038,0.051,0.019,24
preplanner/initialize_plan,0.111,0.155,0.042,24
replanner/__update_known_requests,0.009,0.018,0.002,1731
replanner/__update_performed_requests,0.0,0.001,0.0,1731
replanner/_calc_arrival_times,0.175,0.114,0.175,2284
replanner/__update_access_times,0.233,2.099,0.001,1731
replanner/needs_replanning,0.267,2.103,0.015,1731
replanner/_get_available_requests,0.0,0.0,0.0,1
replanner/_plan_from_path,0.011,0.0,0.011,1
