Contacts between Entity1 with id imaging_sat_1_1 with Entity2 with id imaging_sat_2_0
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
0,6
195,302
492,599
788,895
1085,1192
1381,1488
1678,1785
1974,2081
2270,2378
2567,2674
2863,2970
3160,3267
3456,3563
3753,3860
4049,4156
