inc [deg],num sats,num planes,num planes [norm],ta phasing param,ta phasing angle [deg],time index,time [s],num components,n components [norm],lcc,lcc [norm]
98.0,15,10,0.6666666666666666,6,144.0,0,0.0,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,1,0.8590907628291926,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,2,1.7181815256583852,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,3,2.5772722884875776,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,4,3.4363630513167704,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,5,4.295453814145963,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,6,5.154544576975155,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,7,6.013635339804348,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,8,6.872726102633541,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,9,7.731816865462734,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,10,8.590907628291927,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,11,9.449998391121119,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,12,10.30908915395031,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,13,11.168179916779504,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,14,12.027270679608696,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,15,12.88636144243789,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,16,13.745452205267082,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,17,14.604542968096274,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,18,15.463633730925467,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,19,16.32272449375466,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,20,17.181815256583853,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,21,18.040906019413043,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,22,18.899996782242237,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,23,19.75908754507143,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,24,20.61817830790062,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,25,21.477269070729815,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,26,22.33635983355901,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,27,23.195450596388202,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,28,24.054541359217392,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,29,24.913632122046586,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,30,25.77272288487578,4,0.26666666666666666,6,0.4
98.0,15,10,0.6666666666666666,6,144.0,31,26.63181364770497,4,0.26666666666666666,6,0.4
