routine,t_avg,t_std,t_med,n
check_action_statuses,0.001,0.008,0.0,3019
update_state,0.0,0.0,0.0,3019
sense_environment,0.106,0.065,0.097,3018
update_state_environment,0.001,0.006,0.0,3018
get_environment_broadcasts,0.009,0.018,0.0,3018
get_agent_broadcasts,0.04,0.059,0.0,3018
sense,0.158,0.083,0.147,3018
think,0.287,1.321,0.221,3018
perform_broadcast,0.003,0.011,0.0,1071
do,0.099,0.098,0.075,3018
perform_wait_for_messages,0.099,0.111,0.067,1947
perform_state_change,0.082,0.075,0.058,754
perform_observation,0.096,0.064,0.082,1064
