GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
403,4454,40.796,21.083
403,4681,40.677,23.206
403,4797,41.334,28.617
403,4878,41.186,22.76
404,487,41.172,20.677
404,585,40.444,29.34
404,671,40.877,21.052
404,1163,40.141,28.045
404,1462,44.673,22.531
404,1467,40.211,28.461
404,1846,38.552,21.448
404,1929,44.308,22.567
404,2544,40.653,23.593
404,2659,38.889,21.498
404,2996,40.301,22.1
404,3182,41.141,23.226
404,3931,41.003,25.16
404,4197,40.917,19.458
404,4320,40.752,21.79
404,4454,40.796,21.083
404,4681,40.677,23.206
404,4797,41.334,28.617
404,4878,41.186,22.76
405,487,41.172,20.677
405,585,40.444,29.34
405,671,40.877,21.052
405,1163,40.141,28.045
405,1246,44.616,28.93
405,1462,44.673,22.531
405,1467,40.211,28.461
405,1929,44.308,22.567
405,2544,40.653,23.593
405,2659,38.889,21.498
405,2996,40.301,22.1
405,3182,41.141,23.226
405,3931,41.003,25.16
405,4197,40.917,19.458
405,4320,40.752,21.79
405,4454,40.796,21.083
405,4681,40.677,23.206
405,4797,41.334,28.617
405,4878,41.186,22.76
406,333,44.691,28.997
406,487,41.172,20.677
406,585,40.444,29.34
406,671,40.877,21.052
406,790,45.335,28.706
406,1163,40.141,28.045
406,1246,44.616,28.93
406,1462,44.673,22.531
406,1467,40.211,28.461
406,1900,45.337,28.414
406,1929,44.308,22.567
406,2544,40.653,23.593
406,2996,40.301,22.1
406,3182,41.141,23.226
406,3931,41.003,25.16
406,4197,40.917,19.458
406,4320,40.752,21.79
406,4454,40.796,21.083
406,4681,40.677,23.206
406,4797,41.334,28.617
406,4878,41.186,22.76
407,333,44.691,28.997
407,487,41.172,20.677
407,671,40.877,21.052
407,790,45.335,28.706
407,878,45.587,29.715
407,1163,40.141,28.045
407,1246,44.616,28.93
407,1462,44.673,22.531
407,1467,40.211,28.461
407,1900,45.337,28.414
407,1929,44.308,22.567
407,2544,40.653,23.593
407,2810,45.4,28.986
407,2996,40.301,22.1
407,3182,41.141,23.226
407,3303,45.486,29.152
407,3931,41.003,25.16
407,4197,40.917,19.458
407,4284,42.251,20.045
407,4320,40.752,21.79
407,4454,40.796,21.083
407,4681,40.677,23.206
407,4797,41.334,28.617
407,4878,41.186,22.76
408,333,44.691,28.997
408,466,46.078,30.468
408,487,41.172,20.677
408,790,45.335,28.706
408,791,45.82,30.134
408,878,45.587,29.715
408,1163,40.141,28.045
408,1246,44.616,28.93
408,1462,44.673,22.531
408,1467,40.211,28.461
408,1900,45.337,28.414
408,1929,44.308,22.567
408,2544,40.653,23.593
408,2810,45.4,28.986
408,3182,41.141,23.226
408,3303,45.486,29.152
408,3931,41.003,25.16
408,4284,42.251,20.045
408,4320,40.752,21.79
408,4681,40.677,23.206
408,4797,41.334,28.617
408,4878,41.186,22.76
409,333,44.691,28.997
409,466,46.078,30.468
409,790,45.335,28.706
409,791,45.82,30.134
409,878,45.587,29.715
409,1163,40.141,28.045
409,1246,44.616,28.93
409,1462,44.673,22.531
409,1467,40.211,28.461
409,1564,46.548,30.681
409,1900,45.337,28.414
409,1929,44.308,22.567
409,2240,45.199,33.419
409,2544,40.653,23.593
409,2810,45.4,28.986
409,2873,46.562,30.74
409,3182,41.141,23.226
409,3303,45.486,29.152
409,3567,45.443,33.202
409,3931,41.003,25.16
409,4082,47.841,27.226
409,4284,42.251,20.045
409,4797,41.334,28.617
409,4855,47.279,29.122
409,4878,41.186,22.76
410,333,44.691,28.997
410,466,46.078,30.468
410,790,45.335,28.706
410,791,45.82,30.134
410,878,45.587,29.715
410,1163,40.141,28.045
410,1246,44.616,28.93
410,1288,46.657,31.177
410,1462,44.673,22.531
410,1467,40.211,28.461
410,1564,46.548,30.681
410,1900,45.337,28.414
410,1929,44.308,22.567
410,2216,48.595,27.455
410,2240,45.199,33.419
410,2618,46.827,31.59
410,2810,45.4,28.986
410,2873,46.562,30.74
410,3303,45.486,29.152
410,3567,45.443,33.202
410,3931,41.003,25.16
410,4082,47.841,27.226
410,4797,41.334,28.617
410,4855,47.279,29.122
411,90,46.781,33.373
411,117,46.147,34.805
411,333,44.691,28.997
411,370,46.015,34.402
411,466,46.078,30.468
411,790,45.335,28.706
411,791,45.82,30.134
411,850,46.116,34.038
411,878,45.587,29.715
411,1163,40.141,28.045
411,1246,44.616,28.93
411,1288,46.657,31.177
411,1462,44.673,22.531
411,1467,40.211,28.461
411,1564,46.548,30.681
411,1604,45.981,34.556
