stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
GPs Observed,3744
Observations,14927
Events,1000
Events Detected,155
Unique Event Observations,156
Total Event Observations,358
Events Co-observed,72
Events Partially Co-observed,0
Events Fully Co-observed,72
Total Event Co-observations,202
Total Runtime [s],11072.824
