Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.1
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
110,1385,,-8.964,13.791,793.0,-35.3,39.42,nan
111,1385,,-8.964,13.791,760.5,-32.21,35.86,nan
112,1385,,-8.964,13.791,733.3,-29.16,32.37,nan
113,1385,,-8.964,13.791,712.1,-26.36,29.2,nan
114,1385,,-8.964,13.791,697.5,-24.14,26.7,nan
115,1385,,-8.964,13.791,689.7,-22.85,25.25,nan
115,4459,,-5.033,12.037,751.8,31.35,34.87,nan
116,1385,,-8.964,13.791,689.1,-22.77,25.17,nan
116,1511,,-3.61,10.894,810.4,36.86,41.23,nan
116,4459,,-5.033,12.037,716.2,27.0,29.92,nan
117,1385,,-8.964,13.791,695.8,-23.92,26.45,nan
117,1511,,-3.61,10.894,773.8,33.65,37.5,nan
117,3999,,-2.864,10.384,835.8,38.81,43.52,nan
117,4459,,-5.033,12.037,686.0,22.23,24.56,nan
118,1385,,-8.964,13.791,709.3,-26.05,28.85,nan
118,1511,,-3.61,10.894,742.1,30.31,33.67,nan
118,3999,,-2.864,10.384,801.1,36.11,40.36,nan
118,4459,,-5.033,12.037,662.0,17.13,18.88,nan
119,1385,,-8.964,13.791,729.5,-28.8,31.96,nan
119,1511,,-3.61,10.894,715.9,27.0,29.92,nan
119,3999,,-2.864,10.384,771.2,33.42,37.24,nan
119,4459,,-5.033,12.037,644.9,11.92,13.11,nan
120,1385,,-8.964,13.791,755.8,-31.85,35.44,nan
120,1511,,-3.61,10.894,695.9,23.99,26.53,nan
120,3999,,-2.864,10.384,746.8,30.88,34.32,nan
120,4459,,-5.033,12.037,635.1,7.28,8.0,nan
121,1385,,-8.964,13.791,787.5,-34.96,39.01,nan
121,1511,,-3.61,10.894,682.6,21.66,23.92,nan
121,3999,,-2.864,10.384,728.5,28.7,31.84,nan
121,4459,,-5.033,12.037,633.1,5.92,6.5,nan
122,1385,,-8.964,13.791,824.0,-37.98,42.54,nan
122,1511,,-3.61,10.894,676.4,20.47,22.59,nan
122,3999,,-2.864,10.384,716.6,27.14,30.08,nan
122,4459,,-5.033,12.037,638.9,9.49,10.43,nan
123,1511,,-3.61,10.894,677.6,20.71,22.86,nan
123,3999,,-2.864,10.384,711.6,26.44,29.29,nan
123,4459,,-5.033,12.037,652.4,14.58,16.05,nan
124,1511,,-3.61,10.894,686.0,22.33,24.67,nan
124,3999,,-2.864,10.384,713.5,26.72,29.61,nan
124,4459,,-5.033,12.037,673.0,19.78,21.83,nan
125,236,,-0.69,17.819,847.5,-39.69,44.56,nan
125,1511,,-3.61,10.894,701.4,24.94,27.6,nan
125,3999,,-2.864,10.384,722.3,27.94,30.98,nan
125,4459,,-5.033,12.037,700.1,24.73,27.36,nan
126,236,,-0.69,17.819,816.5,-37.42,41.88,nan
126,1511,,-3.61,10.894,723.5,28.09,31.15,nan
126,3999,,-2.864,10.384,737.8,29.88,33.18,nan
126,4459,,-5.033,12.037,733.1,29.31,32.53,nan
127,236,,-0.69,17.819,790.6,-35.27,39.37,nan
127,1511,,-3.61,10.894,751.5,31.44,34.96,nan
127,3999,,-2.864,10.384,759.5,32.3,35.94,nan
127,4459,,-5.033,12.037,771.0,33.46,37.28,nan
128,236,,-0.69,17.819,770.3,-33.38,37.19,nan
128,459,,-2.509,9.795,816.7,37.44,41.91,nan
