routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.002,0.0,1576
__check_action_completion,0.0,0.0,0.0,1576
replanner/__get_new_requests,0.0,0.0,0.0,1576
replanner/__update_performed_requests,0.0,0.0,0.0,1576
replanner/_update_access_times,0.021,0.79,0.0,1576
replanner/update_percepts,0.022,0.79,0.0,1576
replanner/check_request_completion,0.0,0.0,0.0,1576
replanner/check_request_end_time,0.0,0.0,0.0,1576
replanner/compare_bids,0.005,0.134,0.0,1576
replanner/consensus_phase,0.005,0.134,0.0,1576
replanner/needs_planning,0.048,0.149,0.022,1576
replanner/calc_imaging_time,0.016,0.05,0.01,3624
replanner/calc_path_bid,0.032,0.093,0.02,3624
replanner/planning_phase,3.219,17.031,1.399,90
replanner/_schdule_measurements,0.006,0.031,0.0,90
replanner/_schedule_broadcasts,0.034,0.06,0.033,180
replanner/_schedule_maneuvers,0.014,0.018,0.01,90
replanner/_plan_from_path,0.071,0.142,0.043,90
replanner/generate_plan,3.291,17.162,1.447,90
