routine,t_avg,t_std,t_med,n
_read_incoming_messages,6e-05,0.00042,2e-05,2193
__check_action_completion,6e-05,1e-05,6e-05,2193
preplanner/update_percepts,2e-05,0.0,2e-05,2193
preplanner/needs_planning,0.0,0.0,0.0,2193
preplanner/calculate_access_opportunities,0.00045,0.00241,0.00034,864
preplanner/is_observation_path_valid,1e-05,1e-05,1e-05,1873
preplanner/_schedule_observations,0.43471,0.30242,0.40295,864
preplanner/_schedule_broadcasts,1e-05,0.0,1e-05,864
preplanner/_schedule_maneuvers,0.09426,0.15349,0.01642,864
preplanner/__schedule_periodic_replan,0.00132,0.00614,0.00028,864
preplanner/generate_plan,0.53038,0.35686,0.48929,864
preplanner/populate_adjacency_matrix,0.01561,0.05776,2e-05,90
replanner/needs_planning,0.0,0.0,0.0,2193
