lat [deg],lon [deg],area [m^2]
9.659374999999642,37.32812499999888,0.0
-60.68125000000052,3.10208333333237,0.0
-55.13854166666722,3.0937499999990337,0.0
-55.206250000000594,3.115624999999117,0.0
-55.39791666666724,3.10208333333237,0.0
-55.54062500000052,3.0937499999990337,0.0
-55.5520833333339,3.0937499999990337,0.0
-55.57916666666726,3.118749999999068,0.0
-55.8145833333339,3.101041666665747,0.0
-55.82500000000054,3.10208333333237,0.0
-55.91041666666723,3.0947916666658024,0.0
-56.4687500000005,3.095833333332425,0.0
-56.48541666666719,3.10208333333237,0.0
-56.71145833333389,3.097916666665754,0.0
-57.24791666666721,3.1208333333323743,0.0
-57.33437500000053,3.0989583333324404,0.0
-57.65937500000051,3.111458333332393,0.0
-57.80520833333383,3.097916666665753,0.0
-58.081250000000495,3.0968749999990486,0.0
-58.17500000000051,3.111458333332393,0.0
-58.34375000000051,3.10208333333237,0.0
-58.42812500000056,3.0979166666657534,0.0
-58.43750000000054,3.1010416666657683,0.0
-58.54375000000054,3.118749999999132,0.0
-58.61979166666716,3.0937499999990337,0.0
-58.635416666667176,3.0999999999990635,0.0
-58.85416666666721,3.10208333333237,0.0
-58.912500000000485,3.095833333332425,0.0
-58.99583333333388,3.0979166666657534,0.0
-59.011458333333856,3.095833333332425,0.0
-59.79583333333379,3.095833333332425,0.0
-55.11458333333394,3.099999999999063,0.0
-55.02916666666721,3.1062499999990933,0.0
-54.64687500000057,3.1062499999990933,0.0
-52.715625000000585,3.1093749999990017,0.0
-51.31562500000064,3.0979166666657534,0.0
-51.42187500000061,3.1031249999990784,0.0
-51.42291666666728,3.0937499999990337,0.0
-51.440625000000665,3.097916666665754,0.0
-51.57291666666725,3.0999999999990635,0.0
-51.58020833333393,3.0937499999990337,0.0
-51.8697916666673,3.0937499999990337,0.0
-51.87500000000058,3.1062499999990933,0.0
-52.38125000000059,3.095833333332425,0.0
-52.44062500000062,3.111458333332436,0.0
-52.57291666666729,3.11666666666574,0.0
-52.590625000000585,3.095833333332425,0.0
-52.65000000000059,3.095833333332425,0.0
-53.04895833333394,3.11041666666571,0.0
-54.61666666666726,3.093749999999033,0.0
-53.21979166666725,3.0937499999990337,0.0
-53.20937500000062,3.0979166666657534,0.0
-53.26666666666728,3.095833333332425,0.0
-53.32187500000066,3.0968749999991303,0.0
-53.40833333333392,3.095833333332425,0.0
