routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,5881
update_state,0.0,0.0,0.0,5881
sense_environment,0.054,0.031,0.05,5880
update_state_environment,0.0,0.001,0.0,5880
get_environment_broadcasts,0.001,0.005,0.0,5880
get_agent_broadcasts,0.005,0.009,0.0,5880
sense,0.061,0.033,0.056,5880
think,0.055,0.043,0.045,5880
perform_broadcast,0.003,0.009,0.001,571
do,0.041,0.035,0.032,5880
perform_wait_for_messages,0.04,0.035,0.032,5309
perform_state_change,0.039,0.031,0.032,669
perform_observation,0.04,0.032,0.031,559
