Eclipse times for Spacecraft with id sar_sat_0_1
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
376,554
969,1147
1563,1741
2156,2334
2750,2928
3343,3521
3936,4115
4530,4708
5123,5302
5717,5895
6310,6489
6903,7082
7497,7676
8090,8269
