GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
389,1573,48.531,-80.99
389,1821,51.514,-87.922
389,2402,52.241,-88.146
389,2440,52.029,-88.467
389,2803,51.297,-87.198
390,184,48.748,-80.578
390,651,52.898,-89.003
390,894,52.161,-87.593
390,1635,52.965,-87.94
390,1828,52.695,-87.824
390,1964,52.809,-88.458
390,3446,51.526,-85.607
390,3830,53.127,-89.844
390,3971,52.969,-89.532
390,4347,52.92,-88.608
390,4353,48.704,-80.937
391,688,53.11,-87.333
391,974,52.255,-85.079
391,1451,52.957,-87.695
391,1574,53.515,-88.086
391,2311,53.591,-88.386
391,4822,49.583,-80.83
392,1011,50.44,-80.153
393,3302,54.324,-87.524
394,2871,53.924,-84.253
394,4434,50.415,-78.401
394,4564,54.414,-84.674
395,367,51.036,-76.865
395,1672,50.927,-77.169
395,3666,50.954,-77.333
396,1539,51.443,-76.744
396,3687,51.499,-76.984
397,188,52.212,-76.584
397,325,52.188,-75.886
397,1763,53.44,-78.086
397,2156,53.735,-78.568
397,3008,52.751,-77.672
397,3720,53.214,-77.776
397,4318,52.411,-77.474
398,64,53.785,-77.451
398,266,53.468,-76.673
398,325,52.188,-75.886
398,1283,52.943,-76.78
398,2321,54.124,-77.888
398,2342,52.282,-75.373
398,4182,52.253,-75.62
398,4516,54.621,-79.085
399,73,53.729,-75.963
399,767,54.831,-78.573
399,1603,54.384,-78.138
399,2899,54.22,-76.559
399,3610,54.322,-77.009
399,3870,54.577,-77.776
399,4257,54.598,-77.976
400,654,55.968,-79.521
400,1613,53.999,-75.431
400,1741,53.401,-74.185
400,2326,53.252,-74.777
400,3672,53.592,-74.902
400,3710,54.257,-76.005
400,3926,53.041,-74.299
400,4628,54.914,-76.879
400,4835,54.83,-76.698
401,219,53.887,-73.463
401,2085,53.48,-73.051
401,2597,53.88,-74.063
402,165,54.182,-72.548
402,241,56.163,-76.638
402,1315,55.552,-74.448
402,3388,55.445,-75.29
402,4974,56.002,-75.223
403,129,56.177,-74.845
403,178,54.975,-73.275
403,663,55.467,-73.632
403,1977,54.613,-72.67
403,2158,54.271,-71.746
403,2287,56.481,-74.735
403,2508,55.059,-72.436
403,3181,54.166,-71.701
403,3222,54.799,-72.946
403,3527,54.751,-71.816
403,3665,57.138,-76.024
403,4640,54.781,-72.731
404,357,56.477,-74.273
404,601,54.821,-70.714
404,1016,56.002,-73.26
404,1314,55.872,-72.726
404,1477,56.205,-73.168
404,1527,55.969,-72.234
404,1602,56.664,-73.814
404,1786,55.953,-72.935
404,1847,58.635,-77.455
404,2139,55.086,-71.618
404,2409,55.279,-71.639
404,2471,56.874,-74.084
404,2761,57.563,-75.648
404,2957,55.189,-71.418
404,3104,55.87,-72.117
404,3416,56.785,-73.927
404,3667,55.296,-72.015
404,4450,57.546,-74.833
405,230,57.677,-73.477
405,730,58.355,-75.174
405,1176,58.59,-75.945
405,1407,58.647,-75.631
405,1527,55.969,-72.234
405,2433,59.507,-76.868
405,2956,58.453,-76.232
405,3264,57.407,-73.039
405,3306,57.548,-74.49
405,3366,58.476,-75.031
405,3426,59.52,-77.602
405,3642,58.585,-75.809
405,3804,57.914,-74.611
405,3884,57.335,-72.904
405,3891,58.056,-75.091
405,3915,57.687,-73.995
405,4119,57.988,-75.317
405,4137,58.08,-74.191
405,4194,57.379,-74.152
405,4861,55.747,-70.733
406,230,57.677,-73.477
406,903,58.075,-73.378
406,1548,59.177,-74.994
406,1750,59.372,-75.303
406,2323,60.083,-77.239
406,2505,59.126,-75.303
406,3264,57.407,-73.039
406,3536,59.945,-76.347
406,3812,55.426,-69.585
406,3869,57.438,-72.657
406,3884,57.335,-72.904
406,4048,58.52,-74.246
406,4096,58.478,-73.681
406,4137,58.08,-74.191
406,4337,57.638,-72.07
407,354,59.222,-73.149
407,547,59.78,-75.295
407,689,60.02,-75.58
407,817,59.1,-73.865
407,1291,58.758,-72.279
407,1329,56.109,-68.313
407,1402,56.568,-69.181
407,2000,60.115,-76.198
407,2090,59.968,-75.451
407,2776,56.452,-69.999
407,2854,60.283,-75.276
407,2970,60.845,-76.41
407,3207,60.403,-75.319
407,3251,60.576,-76.819
407,3717,61.007,-76.327
407,3925,59.565,-73.991
407,4389,57.696,-71.579
407,4851,60.429,-75.568
407,4962,58.44,-73.145
407,4966,58.721,-72.532
408,704,56.783,-68.163
408,756,58.94,-71.558
408,1110,56.42,-68.574
408,1225,59.696,-73.58
408,1291,58.758,-72.279
408,1293,56.626,-68.376
408,1329,56.109,-68.313
408,1334,60.041,-73.576
408,1540,61.011,-75.798
408,1560,60.312,-73.838
408,1695,60.608,-74.848
408,1771,60.389,-74.984
408,1882,56.949,-69.02
408,1899,56.367,-67.812
408,1963,58.789,-71.616
408,2653,56.061,-67.847
408,2968,57.298,-68.616
408,3122,60.011,-73.884
408,3669,58.072,-69.909
408,3717,61.007,-76.327
408,3886,60.24,-73.712
408,4316,58.122,-70.545
408,4712,57.089,-68.678
408,4729,60.394,-74.58
409,738,60.95,-73.646
409,863,60.454,-73.457
409,1081,59.82,-71.73
409,2633,58.573,-70.027
409,2775,56.81,-66.719
409,2968,57.298,-68.616
409,3245,56.564,-66.392
409,3570,58.638,-69.177
409,4305,58.043,-69.344
409,4481,60.429,-73.254
410,2152,57.504,-66.603
410,2435,59.706,-70.636
410,3007,58.469,-68.432
410,3179,58.553,-68.941
410,3286,57.543,-66.834
410,3570,58.638,-69.177
410,4416,57.689,-67.06
410,4524,57.195,-66.377
411,2183,60.332,-70.137
411,3401,57.909,-66.377
411,3482,58.096,-66.703
412,4777,58.025,-64.956
