routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,2e-05,0.0,2e-05,1,2e-05
__check_action_completion,1e-05,0.0,1e-05,1,1e-05
update_action_completion,1e-05,0.0,1e-05,1,1e-05
get_plan_out,0.00018,0.0,0.00018,1,0.00018
preplanner/update_percepts,2e-05,0.0,2e-05,1,2e-05
preplanner/needs_planning,0.0,0.0,0.0,1,0.0
preplanner/calculate_access_opportunities,0.00055,0.0,0.00055,1,0.00055
preplanner/_schedule_observations,0.00269,0.0,0.00269,1,0.00269
preplanner/is_observation_path_valid,8e-05,0.0,8e-05,1,8e-05
preplanner/_create_broadcast_path,0.18922,0.0,0.18922,1,0.18922
preplanner/_schedule_broadcasts,0.2654,0.0,0.2654,1,0.2654
preplanner/_schedule_maneuvers,0.00786,0.0,0.00786,1,0.00786
preplanner/__schedule_periodic_replan,0.00091,0.0,0.00091,1,0.00091
preplanner/generate_plan,0.30018,0.0,0.30018,1,0.30018
replanner/compile_new_measurement_request_bids,4e-05,0.0,4e-05,1,4e-05
replanner/update_percepts,0.00176,0.0,0.00176,1,0.00176
replanner/check_request_completion,0.00059,0.0,0.00059,1,0.00059
replanner/check_request_end_time,3e-05,0.0,3e-05,1,3e-05
replanner/compare_bids,0.00055,0.0,0.00055,1,0.00055
replanner/consensus_phase,0.00122,0.0,0.00122,1,0.00122
replanner/needs_planning,0.00132,0.0,0.00132,1,0.00132
reward_grid/update,2e-05,1e-05,2e-05,2,4e-05
reward_grid/get_history,0.0019,0.0,0.0019,1,0.0019
