routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.001,0.0,1132,0.20631675402910332
update_state,0.0,0.003,0.0,1132,0.24659241897097672
sense_environment,0.028,0.018,0.025,1131,32.15203124101936
update_state_environment,0.0,0.001,0.0,1131,0.1675695999747404
get_environment_broadcasts,0.0,0.002,0.0,1131,0.3429511310041562
get_agent_broadcasts,0.008,0.025,0.0,1131,9.489147679994858
sense,0.038,0.029,0.031,1131,42.709327161992405
think,0.042,0.04,0.031,1131,47.42807733100017
perform_broadcast,0.003,0.006,0.0,67,0.17695517799256777
do,0.041,0.035,0.032,1131,46.682443054982286
perform_wait_for_messages,0.044,0.035,0.036,1042,45.922706788009236
perform_state_change,0.032,0.023,0.028,31,1.0056105570020009
perform_observation,0.015,0.011,0.009,28,0.4196327219960949
