routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,62
__check_action_completion,0.0,0.0,0.0,62
preplanner/__get_new_requests,0.0,0.0,0.0,62
preplanner/__update_performed_requests,0.0,0.0,0.0,62
preplanner/_update_access_times,0.011,0.089,0.0,62
preplanner/needs_planning,0.0,0.0,0.0,62
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.063,0.0,0.063,1
preplanner/_schedule_broadcasts,0.067,0.064,0.067,2
preplanner/_schedule_maneuvers,0.073,0.0,0.073,1
preplanner/__schedule_periodic_replan,0.012,0.0,0.012,1
preplanner/generate_plan,0.309,0.0,0.309,1
replanner/__get_new_requests,0.0,0.0,0.0,62
replanner/__update_performed_requests,0.0,0.0,0.0,62
replanner/_update_access_times,0.167,1.044,0.0,62
replanner/check_request_completion,0.0,0.0,0.0,62
replanner/check_request_end_time,0.0,0.0,0.0,62
replanner/compare_bids,0.003,0.015,0.0,62
replanner/calc_imaging_time,0.076,0.049,0.065,535
replanner/calc_path_bid,10.231,2.019,9.384,4
replanner/planning_phase,41.085,0.0,41.085,1
replanner/_schedule_broadcasts,0.002,0.0,0.002,1
replanner/_schedule_maneuvers,0.024,0.0,0.024,1
