routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,88
__check_action_completion,0.0,0.0,0.0,88
replanner/__get_new_requests,0.0,0.0,0.0,88
replanner/__update_performed_requests,0.0,0.0,0.0,88
replanner/_update_access_times,0.005,0.046,0.0,88
replanner/update_percepts,0.005,0.046,0.0,88
replanner/compile_external_plan_bids,0.0,0.0,0.0,88
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,88
replanner/check_request_completion,0.0,0.0,0.0,88
replanner/check_request_end_time,0.0,0.0,0.0,88
replanner/compare_bids,0.001,0.007,0.0,88
replanner/consensus_phase,0.001,0.007,0.0,88
replanner/needs_planning,0.039,0.022,0.042,88
replanner/_get_available_requests,0.015,0.005,0.012,24
replanner/calc_imaging_time,0.027,0.037,0.012,31
replanner/planning_phase,0.16,0.231,0.103,12
replanner/_schdule_measurements,0.0,0.0,0.0,21
replanner/_schedule_broadcasts,0.005,0.001,0.004,21
replanner/_schedule_maneuvers,0.025,0.017,0.03,21
replanner/_schedule_waits,0.0,0.0,0.0,21
replanner/_plan_from_path,0.03,0.018,0.034,21
replanner/generate_plan,0.148,0.203,0.064,21
