Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.5
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
0,30,,53.458,49.496,782.9,19.09,21.39,nan
0,68,,48.827,44.681,878.3,-31.23,35.33,nan
0,121,,56.665,43.385,875.3,30.95,35.0,nan
0,157,,52.054,47.758,754.1,12.32,13.77,nan
0,172,,56.14,47.463,837.4,27.01,30.43,nan
0,206,,48.398,47.573,912.5,-34.13,38.74,nan
0,748,,50.49,51.616,893.1,32.54,36.86,nan
0,922,,49.168,48.13,870.7,-30.52,34.5,nan
0,955,,49.148,46.685,857.2,-29.17,32.93,nan
0,1019,,49.812,49.935,872.2,30.67,34.67,nan
0,1155,,49.014,48.796,890.9,-32.36,36.65,nan
0,1360,,48.198,46.898,920.4,-34.74,39.45,nan
0,1965,,53.076,45.119,736.7,-3.96,4.42,nan
0,2348,,50.19,49.947,854.8,28.93,32.65,nan
0,2949,,49.464,48.115,853.6,-28.8,32.5,nan
0,3029,,51.548,39.137,890.5,-32.32,36.61,nan
0,3098,,49.187,48.62,877.5,-31.16,35.24,nan
0,3481,,49.744,49.027,854.8,-28.92,32.64,nan
0,3811,,48.778,45.08,879.2,-31.31,35.42,nan
0,3824,,47.365,45.201,979.3,-38.71,44.22,nan
0,3877,,48.123,44.79,924.9,-35.08,39.86,nan
0,4069,,47.635,44.855,960.2,-37.52,42.78,nan
0,4294,,49.324,46.109,844.6,-27.82,31.37,nan
0,4912,,49.599,47.853,842.6,-27.6,31.11,nan
1,30,,53.458,49.496,777.7,17.94,20.09,nan
1,68,,48.827,44.681,856.4,-29.02,32.75,nan
1,121,,56.665,43.385,913.0,34.11,38.71,nan
1,157,,52.054,47.758,743.1,7.84,8.75,nan
1,172,,56.14,47.463,859.8,29.37,33.16,nan
1,206,,48.398,47.573,877.6,-31.09,35.17,nan
1,748,,50.49,51.616,859.1,29.29,33.07,nan
1,922,,49.168,48.13,837.9,-26.98,30.39,nan
1,955,,49.148,46.685,829.2,-25.93,29.19,nan
1,1019,,49.812,49.935,837.9,26.97,30.39,nan
1,1155,,49.014,48.796,855.3,-28.9,32.61,nan
1,1360,,48.198,46.898,886.8,-31.93,36.14,nan
1,1965,,53.076,45.119,745.1,-8.77,9.79,nan
1,2348,,50.19,49.947,822.7,25.11,28.25,nan
1,2949,,49.464,48.115,822.4,-25.08,28.21,nan
1,3029,,51.548,39.137,908.8,-33.78,38.32,nan
1,3098,,49.187,48.62,843.3,-27.59,31.11,nan
1,3481,,49.744,49.027,822.4,-25.08,28.21,nan
1,3811,,48.778,45.08,855.4,-28.91,32.63,nan
1,3824,,47.365,45.201,948.2,-36.67,41.77,nan
1,3877,,48.123,44.79,898.9,-32.97,37.36,nan
1,4069,,47.635,44.855,931.6,-35.51,40.38,nan
1,4294,,49.324,46.109,819.8,-24.73,27.82,nan
1,4912,,49.599,47.853,813.1,-23.82,26.77,nan
2,30,,53.458,49.496,778.5,17.97,20.13,nan
2,68,,48.827,44.681,839.5,-27.08,30.52,nan
2,157,,52.054,47.758,738.4,4.33,4.83,nan
2,172,,56.14,47.463,887.0,31.88,36.09,nan
2,206,,48.398,47.573,846.8,-27.9,31.46,nan
2,748,,50.49,51.616,829.3,25.86,29.11,nan
2,922,,49.168,48.13,809.5,-23.21,26.08,nan
2,955,,49.148,46.685,806.1,-22.71,25.5,nan
2,1019,,49.812,49.935,807.9,22.97,25.8,nan
2,1155,,49.014,48.796,823.8,-25.16,28.3,nan
2,1360,,48.198,46.898,857.4,-29.04,32.78,nan
2,1965,,53.076,45.119,759.7,-13.56,15.16,nan
2,2348,,50.19,49.947,795.2,21.01,23.57,nan
2,2949,,49.464,48.115,796.0,-21.13,23.71,nan
2,3029,,51.548,39.137,931.8,-35.46,40.32,nan
2,3098,,49.187,48.62,813.4,-23.76,26.7,nan
2,3481,,49.744,49.027,794.7,-20.93,23.48,nan
2,3811,,48.778,45.08,836.5,-26.73,30.11,nan
2,3824,,47.365,45.201,921.2,-34.68,39.39,nan
2,3877,,48.123,44.79,877.4,-31.0,35.07,nan
2,4069,,47.635,44.855,907.3,-33.59,38.1,nan
2,4294,,49.324,46.109,800.2,-21.8,24.47,nan
2,4912,,49.599,47.853,788.5,-19.85,22.25,nan
3,30,,53.458,49.496,785.4,19.17,21.48,nan
3,68,,48.827,44.681,828.0,-25.6,28.82,nan
3,157,,52.054,47.758,740.0,5.16,5.76,nan
3,172,,56.14,47.463,918.5,34.41,39.08,nan
3,206,,48.398,47.573,820.5,-24.64,27.71,nan
3,748,,50.49,51.616,804.4,22.35,25.1,nan
3,922,,49.168,48.13,786.1,-19.3,21.64,nan
3,955,,49.148,46.685,788.3,-19.69,22.08,nan
3,1019,,49.812,49.935,782.8,18.67,20.92,nan
3,1155,,49.014,48.796,796.9,-21.17,23.76,nan
3,1360,,48.198,46.898,832.5,-26.17,29.47,nan
3,1400,,48.46,51.923,882.0,31.35,35.48,nan
3,1965,,53.076,45.119,780.0,-18.14,20.32,nan
