ID,Requester,lat [deg],lon [deg],Severity,t start,t end,t corr,Measurment Types
5c4dd0ec-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,-62.5,81.40000000000003,94.23018525166142,13120.0,21639.35926072359,8519.359260723591,['visual']
626f14f7-6f83-11ef-8972-0ade7690bf05,vis_sat_0_0,-37.1,33.900000000000006,26.37489904392577,15510.0,24501.09728868334,8991.09728868334,['sar']
640d27d1-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,60.900000000000006,-118.9,9.163089303997229,15980.0,31776.829818956314,15796.829818956314,['thermal']
6f5cdf02-6f83-11ef-8972-0ade7690bf05,therm_sat_0_0,-10.299999999999995,2.5,1.46065556058238,19480.0,38662.87331306083,19182.87331306083,['sar']
7846353f-6f83-11ef-8972-0ade7690bf05,vis_sat_0_1,-65.8,53.10000000000002,46.87491023244616,23600.0,43446.64472679017,19846.644726790168,['sar']
8e304b51-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,33.10000000000001,136.40000000000003,59.21525974447472,33200.0,48321.13704731576,15121.137047315759,['visual']
905bed3b-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,66.60000000000002,-146.6,83.00330531109982,34120.0,45976.488982802985,11856.488982802985,['thermal']
991b9586-6f83-11ef-8972-0ade7690bf05,therm_sat_0_0,-55.5,-42.900000000000006,67.8095947480909,38140.0,56908.91875667224,18768.91875667224,['sar']
9ca86ebb-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,54.80000000000001,130.90000000000003,77.77290152526895,39560.0,41882.825198307,2322.8251983070004,['visual']
a859c09a-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,12.300000000000011,77.19999999999999,90.42496253352412,44690.0,61050.28526020737,16360.285260207369,['visual']
ae23d3e7-6f83-11ef-8972-0ade7690bf05,therm_sat_0_0,53.30000000000001,-157.8,59.519569143480986,47910.0,66318.94002868084,18408.940028680838,['sar']
baa9e007-6f83-11ef-8972-0ade7690bf05,vis_sat_0_0,-22.099999999999994,27.600000000000023,70.45576535160124,52980.0,62739.72627778426,9759.726277784262,['sar']
d21a0412-6f83-11ef-8972-0ade7690bf05,therm_sat_0_0,-49.7,-148.9,68.1127665450452,61740.0,70189.94749970449,8449.947499704489,['sar']
dd82222c-6f83-11ef-8972-0ade7690bf05,vis_sat_0_0,67.10000000000002,69.4,66.33153608439693,66690.0,75921.6973727257,9231.6973727257,['sar']
e5cb3a26-6f83-11ef-8972-0ade7690bf05,vis_sat_0_1,-48.6,171.10000000000002,38.807492059692805,70560.0,86145.33450329582,15585.334503295817,['thermal']
f356dd54-6f83-11ef-8972-0ade7690bf05,vis_sat_0_1,-55.2,153.40000000000003,15.512237129352291,76630.0,81179.69419719881,4549.694197198813,['thermal']
f4ec147f-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,-28.3,127.0,16.837051857165463,77600.0,90531.30621756928,12931.306217569276,['thermal']
f923c721-6f83-11ef-8972-0ade7690bf05,sar_sat_0_0,-47.4,-101.2,77.06938541701513,79180.0,81432.20278925344,2252.202789253439,['visual']
fde4e2f6-6f83-11ef-8972-0ade7690bf05,vis_sat_0_1,31.200000000000003,84.69999999999999,60.07686105742931,80940.0,94587.66738642068,13647.667386420682,['thermal']
0236465f-6f84-11ef-8972-0ade7690bf05,sar_sat_0_0,-54.4,123.0,6.1931423597404,84050.0,104745.76646325717,20695.76646325717,['thermal']
062fe995-6f84-11ef-8972-0ade7690bf05,therm_sat_0_0,-63.5,134.8,76.70663659883932,85770.0,102940.20162360396,17170.201623603964,['sar']
