observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
therm_sat_0_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
vis_sat_0_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
vis_sat_0_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
therm_sat_0_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
therm_sat_0_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
vis_sat_0_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
vis_sat_0_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
therm_sat_0_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
therm_sat_0_0,340.0,18.479,-91.796,654.7,-13.86,15.27,,thermal
vis_sat_0_0,340.0,18.479,-91.796,654.7,-13.86,15.27,,visual
therm_sat_0_0,500.0,29.248,-90.68,670.8,16.86,18.61,,thermal
vis_sat_0_0,500.0,29.248,-90.68,670.8,16.86,18.61,,visual
vis_sat_0_0,510.0,29.575,-90.159,661.0,13.99,15.43,,visual
vis_sat_0_0,510.0,29.481,-89.981,655.9,12.29,13.55,,visual
therm_sat_0_0,510.0,29.575,-90.159,661.0,13.99,15.43,,thermal
therm_sat_0_0,510.0,29.481,-89.981,655.9,12.29,13.55,,thermal
vis_sat_0_0,520.0,29.645,-89.759,653.3,11.15,12.28,,visual
vis_sat_0_0,520.0,30.178,-89.74,659.1,13.24,14.59,,visual
therm_sat_0_0,520.0,29.645,-89.759,653.3,11.15,12.28,,thermal
therm_sat_0_0,520.0,30.178,-89.74,659.1,13.24,14.59,,thermal
vis_sat_0_0,560.0,32.399,-90.064,701.7,22.74,25.18,,visual
therm_sat_0_0,560.0,32.399,-90.064,701.7,22.74,25.18,,thermal
therm_sat_0_0,580.0,33.815,-89.769,718.5,25.28,28.04,,thermal
therm_sat_0_0,580.0,34.152,-89.904,732.1,27.21,30.22,,thermal
vis_sat_0_0,580.0,33.815,-89.769,718.5,25.28,28.04,,visual
vis_sat_0_0,580.0,34.152,-89.904,732.1,27.21,30.22,,visual
vis_sat_0_0,590.0,34.756,-90.123,755.4,30.04,33.44,,visual
therm_sat_0_0,590.0,34.756,-90.123,755.4,30.04,33.44,,thermal
vis_sat_0_0,610.0,35.069,-88.247,689.1,19.9,22.01,,visual
therm_sat_0_0,610.0,35.069,-88.247,689.1,19.9,22.01,,thermal
vis_sat_0_0,630.0,36.292,-86.659,667.2,14.25,15.73,,visual
vis_sat_0_0,630.0,36.155,-86.618,664.1,13.26,14.63,,visual
therm_sat_0_0,630.0,36.292,-86.659,667.2,14.25,15.73,,thermal
therm_sat_0_0,630.0,36.155,-86.618,664.1,13.26,14.63,,thermal
therm_sat_0_0,640.0,36.097,-85.826,651.1,7.48,8.24,,thermal
therm_sat_0_0,640.0,36.293,-85.945,653.9,8.98,9.9,,thermal
vis_sat_0_0,640.0,36.097,-85.826,651.1,7.48,8.24,,visual
vis_sat_0_0,640.0,36.293,-85.945,653.9,8.98,9.9,,visual
therm_sat_0_0,650.0,36.538,-85.45,650.7,6.89,7.59,,thermal
vis_sat_0_0,650.0,36.538,-85.45,650.7,6.89,7.59,,visual
vis_sat_0_0,680.0,39.008,-86.5,708.8,22.9,25.38,,visual
therm_sat_0_0,680.0,39.008,-86.5,708.8,22.9,25.38,,thermal
vis_sat_0_0,710.0,40.531,-84.573,682.0,17.13,18.94,,visual
therm_sat_0_0,710.0,40.531,-84.573,682.0,17.13,18.94,,thermal
vis_sat_0_0,750.0,42.348,-82.943,675.6,14.85,16.4,,visual
therm_sat_0_0,750.0,42.348,-82.943,675.6,14.85,16.4,,thermal
therm_sat_0_0,760.0,42.999,-82.423,674.7,14.44,15.95,,thermal
vis_sat_0_0,760.0,42.999,-82.423,674.7,14.44,15.95,,visual
therm_sat_0_0,780.0,44.856,-83.597,747.6,27.71,30.84,,thermal
vis_sat_0_0,780.0,44.856,-83.597,747.6,27.71,30.84,,visual
therm_sat_0_0,800.0,45.712,-82.23,724.4,24.26,26.94,,thermal
therm_sat_0_0,800.0,45.888,-82.274,730.3,25.16,27.95,,thermal
therm_sat_0_0,800.0,45.704,-81.996,717.2,23.11,25.64,,thermal
vis_sat_0_0,800.0,45.712,-82.23,724.4,24.26,26.94,,visual
vis_sat_0_0,800.0,45.888,-82.274,730.3,25.16,27.95,,visual
vis_sat_0_0,800.0,45.704,-81.996,717.2,23.11,25.64,,visual
therm_sat_0_0,810.0,46.208,-81.51,715.2,22.66,25.13,,thermal
vis_sat_0_0,810.0,46.208,-81.51,715.2,22.66,25.13,,visual
vis_sat_0_0,810.0,46.208,-81.51,715.2,22.66,25.13,,visual
vis_sat_0_0,820.0,46.666,-80.672,703.3,20.38,22.59,,visual
therm_sat_0_0,810.0,46.208,-81.51,715.2,22.66,25.13,,thermal
therm_sat_0_0,820.0,46.666,-80.672,703.3,20.38,22.59,,thermal
vis_sat_0_0,830.0,47.181,-80.181,702.5,20.08,22.25,,visual
therm_sat_0_0,830.0,47.181,-80.181,702.5,20.08,22.25,,thermal
vis_sat_0_0,840.0,47.287,-79.462,688.4,16.85,18.64,,visual
vis_sat_0_0,840.0,47.043,-79.273,681.0,14.88,16.45,,visual
vis_sat_0_0,840.0,47.556,-79.239,689.2,17.03,18.85,,visual
therm_sat_0_0,840.0,47.287,-79.462,688.4,16.85,18.64,,thermal
therm_sat_0_0,840.0,47.043,-79.273,681.0,14.88,16.45,,thermal
therm_sat_0_0,840.0,47.556,-79.239,689.2,17.03,18.85,,thermal
therm_sat_0_0,850.0,47.798,-77.94,671.5,11.6,12.81,,thermal
therm_sat_0_0,850.0,47.768,-78.316,676.0,13.16,14.54,,thermal
vis_sat_0_0,850.0,47.798,-77.94,671.5,11.6,12.81,,visual
vis_sat_0_0,850.0,47.768,-78.316,676.0,13.16,14.54,,visual
therm_sat_0_0,850.0,47.765,-79.216,692.9,17.77,19.67,,thermal
therm_sat_0_0,850.0,47.682,-78.931,685.5,15.94,17.63,,thermal
therm_sat_0_0,850.0,47.931,-79.265,697.0,18.68,20.69,,thermal
therm_sat_0_0,860.0,48.465,-78.126,684.5,15.51,17.15,,thermal
therm_sat_0_0,860.0,48.393,-78.357,687.2,16.23,17.96,,thermal
vis_sat_0_0,850.0,47.765,-79.216,692.9,17.77,19.67,,visual
vis_sat_0_0,850.0,47.682,-78.931,685.5,15.94,17.63,,visual
vis_sat_0_0,850.0,47.931,-79.265,697.0,18.68,20.69,,visual
vis_sat_0_0,860.0,48.465,-78.126,684.5,15.51,17.15,,visual
vis_sat_0_0,860.0,48.393,-78.357,687.2,16.23,17.96,,visual
therm_sat_0_0,860.0,47.839,-77.548,666.9,9.44,10.43,,thermal
therm_sat_0_0,860.0,48.052,-77.292,666.3,9.16,10.12,,thermal
therm_sat_0_0,860.0,48.177,-77.891,675.6,12.84,14.18,,thermal
therm_sat_0_0,870.0,48.313,-77.302,670.3,10.66,11.78,,thermal
therm_sat_0_0,870.0,48.722,-77.044,671.8,11.26,12.44,,thermal
therm_sat_1_0,870.0,-43.994,-72.308,896.6,31.96,36.22,87.72,thermal
vis_sat_1_0,870.0,-43.994,-72.308,896.6,31.96,36.22,87.72,visual
vis_sat_0_0,860.0,47.839,-77.548,666.9,9.44,10.43,,visual
vis_sat_0_0,860.0,48.052,-77.292,666.3,9.16,10.12,,visual
vis_sat_0_0,860.0,48.177,-77.891,675.6,12.84,14.18,,visual
vis_sat_0_0,870.0,48.313,-77.302,670.3,10.66,11.78,,visual
vis_sat_0_0,870.0,48.722,-77.044,671.8,11.26,12.44,,visual
therm_sat_0_0,880.0,49.037,-76.967,675.3,12.32,13.61,,thermal
vis_sat_0_0,880.0,49.037,-76.967,675.3,12.32,13.61,,visual
vis_sat_0_0,890.0,49.856,-77.185,693.4,17.29,19.14,,visual
vis_sat_0_0,890.0,49.842,-76.917,688.0,15.93,17.63,,visual
therm_sat_0_0,890.0,49.856,-77.185,693.4,17.29,19.14,,thermal
therm_sat_0_0,890.0,49.842,-76.917,688.0,15.93,17.63,,thermal
therm_sat_1_0,890.0,-44.958,-71.354,894.3,31.89,36.13,87.87,thermal
therm_sat_1_0,890.0,-44.861,-71.673,886.8,31.21,35.34,87.72,thermal
