routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.01,0.0,12078,24.778760889115805
update_state,0.001,0.006,0.0,12078,7.358135925132956
sense_environment,0.179,0.16,0.134,12077,2160.936845450815
update_state_environment,0.002,0.012,0.0,12077,22.171657299673825
get_environment_broadcasts,0.001,0.01,0.0,12077,15.68689065804574
get_agent_broadcasts,0.015,0.04,0.0,12077,179.7848763857728
sense,0.2,0.169,0.155,12077,2415.942050445916
think,0.235,0.248,0.136,12077,2836.595377416532
perform_broadcast,0.01,0.023,0.001,384,3.887321387992415
do,0.18,0.177,0.127,12077,2172.1447625463406
perform_wait_for_messages,0.18,0.178,0.126,11693,2106.2044222830955
perform_state_change,0.18,0.17,0.127,609,109.43412000493845
perform_observation,0.145,0.152,0.099,383,55.64650782608442
