routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00268,0.02333,3e-05,12077,32.36636
__check_action_completion,0.00014,0.00025,9e-05,12077,1.69078
update_action_completion,0.00328,0.02048,0.00034,12077,39.61256
get_plan_out,0.00588,0.01877,0.00037,12077,71.01276
preplanner/update_percepts,0.0017,0.01304,0.00012,12077,20.5309
preplanner/needs_planning,7e-05,0.00261,0.0,12077,0.84539
preplanner/calculate_access_opportunities,0.04856,0.0,0.04856,1,0.04856
preplanner/_schedule_observations,0.59128,0.0,0.59128,1,0.59128
preplanner/is_observation_path_valid,0.00079,0.0,0.00079,1,0.00079
preplanner/_create_broadcast_path,0.02597,0.0,0.02597,1,0.02597
preplanner/_schedule_broadcasts,0.29195,0.0,0.29195,1,0.29195
preplanner/_schedule_maneuvers,0.96751,0.0,0.96751,1,0.96751
preplanner/__schedule_periodic_replan,0.00559,0.0,0.00559,1,0.00559
preplanner/generate_plan,1.87496,0.0,1.87496,1,1.87496
replanner/needs_planning,4e-05,0.00165,0.0,12077,0.48308000000000006
reward_grid/update,0.00087,0.00943,1e-05,12078,10.50786
reward_grid/__get_target_indeces,0.00025,0.00706,1e-05,4443,1.1107500000000001
reward_grid/propagate_reward,0.00052,0.00697,3e-05,8886,4.6207199999999995
reward_grid/update_observation,0.00229,0.01523,0.00013,4442,10.172179999999999
reward_grid/update_event,9e-05,0.0,9e-05,1,9e-05
reward_grid/get_history,0.21992,0.0,0.21992,1,0.21992
