routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,4474
update_state,0.0,0.0,0.0,4474
sense_environment,0.044,0.021,0.04,4473
update_state_environment,0.0,0.001,0.0,4473
get_environment_broadcasts,0.001,0.003,0.0,4473
get_agent_broadcasts,0.001,0.004,0.0,4473
sense,0.046,0.021,0.042,4473
think,0.033,0.031,0.029,4473
perform_broadcast,0.006,0.01,0.002,55
do,0.035,0.038,0.016,4473
perform_wait_for_messages,0.037,0.04,0.018,3964
perform_state_change,0.02,0.017,0.012,533
perform_observation,0.018,0.013,0.012,473
