routine,t_avg,t_std,t_med,n
_read_incoming_messages,2e-05,0.0001,2e-05,872
__check_action_completion,6e-05,1e-05,6e-05,872
preplanner/update_percepts,2e-05,0.0,2e-05,872
preplanner/needs_planning,0.0,0.0,0.0,872
preplanner/calculate_access_opportunities,0.00043,0.00097,0.0003,864
preplanner/is_observation_path_valid,1e-05,0.0,0.0,1822
preplanner/_schedule_maneuvers,0.0028,0.00398,0.00175,864
preplanner/__schedule_periodic_replan,8e-05,0.00025,5e-05,864
preplanner/generate_plan,0.0164,0.01209,0.01138,864
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,872
replanner/update_percepts,8e-05,1e-05,8e-05,872
replanner/check_request_completion,0.00282,0.00427,0.00171,872
replanner/check_request_end_time,0.0,0.0,0.0,872
replanner/compare_bids,0.00214,0.00348,0.00134,872
replanner/consensus_phase,0.00498,0.00622,0.00327,872
replanner/needs_planning,0.005,0.00622,0.00328,872
replanner/_get_available_requests,1e-05,0.0,1e-05,2
