stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,746
Events,1000
Events Detected,66
Events Observed,71
Observations,2636
Event Observations,81
Events Re-observed,8
Event Re-observations,18
Events Co-observed,71
Events Partially Co-observed,1
Events Fully Co-observed,7
Event Co-observations,81
P(Event Detected),0.066
P(Event Observed),0.071
P(Event Re-observed),0.008
P(Event Co-observed),0.071
P(Event Partially Co-observed),0.001
P(Event Fully Co-observed),0.007
P(Event at a GP),0.637
P(Event Observation | Observation),0.02693
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.10606
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.01515
P(Event Co-observed Fully | Event Detected),0.09091
Total Runtime [s],29011.95948
