plan_index,t_plan,instrument,t_img
89,8600.0,thermal,8680.0
90,8700.0,thermal,8730.0
90,8700.0,thermal,8750.0
90,8700.0,thermal,8760.0
91,8800.0,thermal,8890.0
92,8900.0,thermal,8900.0
94,9100.0,thermal,9170.0
95,9200.0,thermal,9230.0
130,12700.0,thermal,12740.0
130,12700.0,thermal,12750.0
130,12700.0,thermal,12760.0
130,12700.0,thermal,12780.0
130,12700.0,thermal,12790.0
131,12750.0,thermal,12760.0
131,12750.0,thermal,12780.0
131,12750.0,thermal,12790.0
132,12800.0,thermal,12820.0
132,12800.0,thermal,12830.0
132,12800.0,thermal,12860.0
132,12800.0,thermal,12890.0
132,12800.0,thermal,12900.0
133,12900.0,thermal,12900.0
133,12900.0,thermal,12910.0
133,12900.0,thermal,12940.0
133,12900.0,thermal,12950.0
133,12900.0,thermal,12960.0
133,12900.0,thermal,12980.0
133,12900.0,thermal,12990.0
133,12900.0,thermal,13000.0
134,13000.0,thermal,13000.0
134,13000.0,thermal,13020.0
134,13000.0,thermal,13030.0
134,13000.0,thermal,13040.0
134,13000.0,thermal,13050.0
134,13000.0,thermal,13060.0
134,13000.0,thermal,13080.0
134,13000.0,thermal,13090.0
134,13000.0,thermal,13100.0
135,13100.0,thermal,13100.0
135,13100.0,thermal,13110.0
135,13100.0,thermal,13120.0
135,13100.0,thermal,13130.0
135,13100.0,thermal,13160.0
135,13100.0,thermal,13170.0
135,13100.0,thermal,13180.0
135,13100.0,thermal,13190.0
135,13100.0,thermal,13200.0
136,13100.0,thermal,13110.0
136,13100.0,thermal,13120.0
136,13100.0,thermal,13130.0
136,13100.0,thermal,13160.0
136,13100.0,thermal,13170.0
136,13100.0,thermal,13180.0
136,13100.0,thermal,13190.0
136,13100.0,thermal,13200.0
137,13200.0,thermal,13200.0
137,13200.0,thermal,13210.0
137,13200.0,thermal,13230.0
137,13200.0,thermal,13240.0
137,13200.0,thermal,13250.0
137,13200.0,thermal,13270.0
137,13200.0,thermal,13280.0
137,13200.0,thermal,13290.0
138,13300.0,thermal,13400.0
139,13400.0,thermal,13400.0
139,13400.0,thermal,13410.0
143,13800.0,thermal,13820.0
143,13800.0,thermal,13830.0
143,13800.0,thermal,13840.0
143,13800.0,thermal,13850.0
144,13900.0,thermal,14000.0
145,14000.0,thermal,14000.0
145,14000.0,thermal,14010.0
145,14000.0,thermal,14050.0
146,14100.0,thermal,14180.0
146,14100.0,thermal,14190.0
151,14500.0,thermal,14590.0
151,14500.0,thermal,14600.0
152,14600.0,thermal,14600.0
152,14600.0,thermal,14630.0
152,14600.0,thermal,14650.0
152,14600.0,thermal,14690.0
154,14800.0,thermal,14840.0
154,14800.0,thermal,14860.0
156,15000.0,thermal,15040.0
157,15100.0,thermal,15130.0
157,15100.0,thermal,15200.0
158,15200.0,thermal,15200.0
158,15200.0,thermal,15210.0
159,15300.0,thermal,15320.0
159,15300.0,thermal,15350.0
175,16900.0,thermal,16980.0
175,16900.0,thermal,16990.0
175,16900.0,thermal,17000.0
176,17000.0,thermal,17000.0
176,17000.0,thermal,17010.0
176,17000.0,thermal,17020.0
176,17000.0,thermal,17030.0
194,18800.0,thermal,18880.0
194,18800.0,thermal,18900.0
195,18900.0,thermal,18900.0
195,18900.0,thermal,18910.0
195,18900.0,thermal,18920.0
195,18900.0,thermal,18930.0
195,18900.0,thermal,18950.0
196,19000.0,thermal,19020.0
196,19000.0,thermal,19030.0
196,19000.0,thermal,19040.0
196,19000.0,thermal,19060.0
196,19000.0,thermal,19080.0
196,19000.0,thermal,19090.0
197,19100.0,thermal,19110.0
197,19100.0,thermal,19120.0
197,19100.0,thermal,19130.0
197,19100.0,thermal,19150.0
197,19100.0,thermal,19160.0
197,19100.0,thermal,19170.0
197,19100.0,thermal,19180.0
198,19200.0,thermal,19210.0
198,19200.0,thermal,19220.0
198,19200.0,thermal,19240.0
198,19200.0,thermal,19250.0
198,19200.0,thermal,19270.0
198,19200.0,thermal,19280.0
198,19200.0,thermal,19300.0
199,19300.0,thermal,19300.0
199,19300.0,thermal,19310.0
199,19300.0,thermal,19340.0
199,19300.0,thermal,19350.0
199,19300.0,thermal,19360.0
199,19300.0,thermal,19370.0
199,19300.0,thermal,19400.0
200,19400.0,thermal,19400.0
200,19400.0,thermal,19410.0
201,19500.0,thermal,19520.0
201,19500.0,thermal,19530.0
201,19500.0,thermal,19540.0
201,19500.0,thermal,19570.0
210,20400.0,thermal,20440.0
210,20400.0,thermal,20470.0
210,20400.0,thermal,20480.0
211,20500.0,thermal,20550.0
212,20600.0,thermal,20620.0
212,20600.0,thermal,20660.0
212,20600.0,thermal,20690.0
235,22900.0,thermal,22980.0
235,22900.0,thermal,22990.0
236,23000.0,thermal,23040.0
236,23000.0,thermal,23060.0
236,23000.0,thermal,23080.0
237,23100.0,thermal,23120.0
237,23100.0,thermal,23140.0
237,23100.0,thermal,23180.0
237,23100.0,thermal,23200.0
238,23200.0,thermal,23200.0
238,23200.0,thermal,23250.0
238,23200.0,thermal,23260.0
238,23200.0,thermal,23270.0
238,23200.0,thermal,23290.0
254,24800.0,thermal,24830.0
254,24800.0,thermal,24840.0
254,24800.0,thermal,24850.0
254,24800.0,thermal,24860.0
254,24800.0,thermal,24890.0
254,24800.0,thermal,24900.0
255,24900.0,thermal,24900.0
255,24900.0,thermal,24910.0
255,24900.0,thermal,24950.0
255,24900.0,thermal,24980.0
255,24900.0,thermal,25000.0
256,25000.0,thermal,25000.0
256,25000.0,thermal,25030.0
256,25000.0,thermal,25040.0
256,25000.0,thermal,25080.0
256,25000.0,thermal,25090.0
257,25100.0,thermal,25110.0
257,25100.0,thermal,25120.0
257,25100.0,thermal,25130.0
257,25100.0,thermal,25150.0
257,25100.0,thermal,25160.0
257,25100.0,thermal,25170.0
257,25100.0,thermal,25180.0
257,25100.0,thermal,25190.0
258,25200.0,thermal,25210.0
258,25200.0,thermal,25220.0
258,25200.0,thermal,25230.0
258,25200.0,thermal,25240.0
258,25200.0,thermal,25250.0
258,25200.0,thermal,25280.0
258,25200.0,thermal,25290.0
258,25200.0,thermal,25300.0
259,25300.0,thermal,25300.0
259,25300.0,thermal,25310.0
259,25300.0,thermal,25330.0
259,25300.0,thermal,25340.0
259,25300.0,thermal,25350.0
259,25300.0,thermal,25360.0
260,25400.0,thermal,25450.0
260,25400.0,thermal,25470.0
260,25400.0,thermal,25500.0
261,25450.0,thermal,25470.0
261,25450.0,thermal,25500.0
262,25500.0,thermal,25500.0
262,25500.0,thermal,25510.0
262,25500.0,thermal,25530.0
262,25500.0,thermal,25540.0
