routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.01,0.0,3077
update_state,0.0,0.0,0.0,3077
sense_environment,0.81,0.462,0.807,3076
update_state_environment,0.003,0.015,0.0,3076
get_environment_broadcasts,0.0,0.002,0.0,3076
get_agent_broadcasts,0.012,0.069,0.0,3076
sense,0.828,0.46,0.815,3076
think,0.447,0.401,0.391,3076
perform_broadcast,0.027,0.03,0.016,50
do,0.433,0.509,0.129,3076
perform_wait_for_messages,0.439,0.51,0.134,2982
perform_state_change,0.461,0.542,0.118,65
perform_observation,0.353,0.507,0.01,54
