id,type,x_pos,y_pos,z_pos,s_max,measurements,t_start,t_end,t_corr
abeb7a4a,GROUND_POINT,3482.908540584254,574.4451193532287,5312.248447141211,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",0.0,86400.0,86400
abec05aa,GROUND_POINT,3482.908540584254,574.4451193532287,5312.248447141211,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",864000.0,950400.0,86400
abec71b6,GROUND_POINT,3482.908540584254,574.4451193532287,5312.248447141211,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1728000.0,1814400.0,86400
abecde9e,GROUND_POINT,2524.6747429966354,-4896.0954086605125,-3214.7923498642945,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",518400.0,604800.0,86400
abed2c32,GROUND_POINT,2524.6747429966354,-4896.0954086605125,-3214.7923498642945,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1382400.0,1468800.0,86400
abed5b9e,GROUND_POINT,2524.6747429966354,-4896.0954086605125,-3214.7923498642945,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2246400.0,2332800.0,86400
abedd8da,GROUND_POINT,3875.6262501875735,3111.7306672541977,3997.1585013237154,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",259200.0,345600.0,86400
abee0b48,GROUND_POINT,3875.6262501875735,3111.7306672541977,3997.1585013237154,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1123200.0,1209600.0,86400
abee362c,GROUND_POINT,3875.6262501875735,3111.7306672541977,3997.1585013237154,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1987200.0,2073600.0,86400
abee607a,GROUND_POINT,-1919.7906582480346,3700.5223896734515,4827.127565478953,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1382400.0,1468800.0,86400
abee9770,GROUND_POINT,-1919.7906582480346,3700.5223896734515,4827.127565478953,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2246400.0,2332800.0,86400
abeec24a,GROUND_POINT,-2522.6327713921232,3706.9238838638657,4536.040330653578,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",777600.0,864000.0,86400
abeeec70,GROUND_POINT,-2522.6327713921232,3706.9238838638657,4536.040330653578,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1641600.0,1728000.0,86400
abef16c8,GROUND_POINT,-2522.6327713921232,3706.9238838638657,4536.040330653578,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2505600.0,2592000.0,86400
abef415c,GROUND_POINT,868.2140589509411,-2533.5909443788805,5788.587386900102,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2246400.0,2332800.0,86400
abef6d30,GROUND_POINT,-1237.689134451792,-3457.7630728481276,5214.654619424526,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",604800.0,691200.0,86400
abef977e,GROUND_POINT,-1237.689134451792,-3457.7630728481276,5214.654619424526,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1468800.0,1555200.0,86400
abefc2a8,GROUND_POINT,-1237.689134451792,-3457.7630728481276,5214.654619424526,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2332800.0,2419200.0,86400
abeff11a,GROUND_POINT,-243.15193555813926,4263.23216306525,4737.758048003087,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",777600.0,864000.0,86400
abf01c4e,GROUND_POINT,3181.424272992813,-5513.671998327391,-398.22525215043555,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1468800.0,1555200.0,86400
abf0469c,GROUND_POINT,3181.424272992813,-5513.671998327391,-398.22525215043555,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2332800.0,2419200.0,86400
abf07270,GROUND_POINT,-2983.7162488107874,-884.7093614875361,5567.346706794583,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",86400.0,172800.0,86400
abf0a2cc,GROUND_POINT,-2983.7162488107874,-884.7093614875361,5567.346706794583,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",864000.0,950400.0,86400
abf0cd10,GROUND_POINT,-2983.7162488107874,-884.7093614875361,5567.346706794583,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1728000.0,1814400.0,86400
abf0f70e,GROUND_POINT,-590.0327515910049,-3790.412629091766,5095.611456405334,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",172800.0,259200.0,86400
abf12224,GROUND_POINT,-590.0327515910049,-3790.412629091766,5095.611456405334,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1036800.0,1123200.0,86400
abf153de,GROUND_POINT,-590.0327515910049,-3790.412629091766,5095.611456405334,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1900800.0,1987200.0,86400
abf17ed6,GROUND_POINT,-55.547988737177064,3676.4455296933547,5211.64900482781,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",0.0,86400.0,86400
abf1a910,GROUND_POINT,-55.547988737177064,3676.4455296933547,5211.64900482781,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",777600.0,864000.0,86400
abf1d688,GROUND_POINT,-55.547988737177064,3676.4455296933547,5211.64900482781,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",1641600.0,1728000.0,86400
abf201da,GROUND_POINT,-55.547988737177064,3676.4455296933547,5211.64900482781,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",2505600.0,2592000.0,86400
abf22fe8,GROUND_POINT,3242.694748461675,4017.413315023645,3745.122652991155,100,"['OLI', 'Imaging SAR', 'ThermalCamera']",518400.0,604800.0,86400
