routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,114
update_state,0.0,0.0,0.0,114
sense_environment,0.019,0.009,0.02,113
update_state_environment,0.0,0.0,0.0,113
get_environment_broadcasts,0.0,0.0,0.0,113
get_agent_broadcasts,0.0,0.0,0.0,113
sense,0.019,0.009,0.02,113
think,0.052,0.163,0.023,113
perform_broadcast,0.002,0.005,0.0,39
do,0.056,0.12,0.013,113
perform_wait_for_messages,0.067,0.132,0.013,90
perform_state_change,0.078,0.148,0.014,66
perform_measurement,0.019,0.005,0.017,10
