routine,t_avg,t_std,t_med,n
check_action_statuses,0.004,0.014,0.0,216
update_state,0.0,0.0,0.0,216
sense_environment,0.274,0.196,0.219,215
update_state_environment,0.002,0.012,0.0,215
get_environment_broadcasts,0.0,0.0,0.0,215
get_agent_broadcasts,0.0,0.0,0.0,215
sense,0.28,0.197,0.232,215
think,1.144,3.018,0.556,215
perform_broadcast,0.009,0.012,0.007,9
do,0.864,0.535,0.866,215
perform_wait_for_messages,0.861,0.534,0.865,206
perform_state_change,0.936,0.545,0.941,140
perform_measurement,0.823,0.529,0.666,7
