routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.004,0.037,0.0,727
__check_action_completion,0.0,0.0,0.0,727
preplanner/__get_new_requests,0.0,0.0,0.0,727
preplanner/__update_performed_requests,0.0,0.0,0.0,727
preplanner/_update_access_times,0.04,1.082,0.0,727
preplanner/needs_planning,0.0,0.0,0.0,727
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,509.026,0.0,509.026,1
preplanner/_schedule_broadcasts,1.398,1.378,1.398,2
preplanner/_schedule_maneuvers,21.277,0.0,21.277,1
preplanner/__schedule_periodic_replan,0.66,0.0,0.66,1
preplanner/generate_plan,562.233,0.0,562.233,1
replanner/__get_new_requests,0.0,0.0,0.0,727
replanner/__update_performed_requests,0.0,0.0,0.0,727
replanner/_update_access_times,0.271,2.567,0.0,727
replanner/_schedule_measurements,44.304,43.467,33.289,6
replanner/_schedule_broadcasts,1.134,1.828,0.327,12
replanner/_schedule_maneuvers,9.401,9.343,6.61,6
