routine,t_avg,t_std,t_med,n
check_action_statuses,0.019,0.089,0.0,9912
update_state,0.0,0.002,0.0,9912
sense_environment,0.743,1.138,0.488,9911
update_state_environment,0.015,0.076,0.0,9911
get_environment_broadcasts,0.007,0.032,0.0,9911
get_agent_broadcasts,0.2,1.006,0.0,9911
sense,0.983,1.901,0.532,9911
think,2.009,10.96,0.144,9911
perform_broadcast,0.049,0.16,0.0,1006
do,0.936,2.92,0.36,9911
perform_wait_for_messages,1.089,3.193,0.435,8159
perform_state_change,0.682,2.397,0.325,1224
perform_observation,0.316,0.395,0.27,1054
