routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.013,0.033,0.0,3033
__check_action_completion,0.0,0.0,0.0,3033
preplanner/update_percepts,0.001,0.006,0.0,3033
preplanner/needs_planning,0.0,0.001,0.0,3033
preplanner/calculate_access_times,0.314,0.0,0.314,1
preplanner/_schedule_observations,5.755,0.0,5.755,1
preplanner/is_observation_path_valid,0.002,0.0,0.002,1
preplanner/_schedule_broadcasts,59.486,0.0,59.486,1
preplanner/_schedule_maneuvers,0.72,0.0,0.72,1
preplanner/__schedule_periodic_replan,0.022,0.0,0.022,1
preplanner/generate_plan,66.482,0.0,66.482,1
replanner/needs_planning,0.0,0.0,0.0,3033
