routine,t_avg,t_std,t_med,n
check_action_statuses,0.008,0.067,0.0,5901
update_state,0.0,0.0,0.0,5901
sense_environment,0.164,0.195,0.137,5901
update_state_environment,0.002,0.023,0.0,5901
get_environment_broadcasts,0.006,0.027,0.0,5901
get_agent_broadcasts,0.068,0.388,0.0,5901
sense,0.249,0.516,0.161,5901
think,0.93,5.743,0.074,5900
perform_broadcast,0.013,0.12,0.0,640
do,0.381,1.547,0.081,5900
perform_wait_for_messages,0.487,1.774,0.113,4414
perform_state_change,0.084,0.106,0.048,757
perform_observation,0.082,0.075,0.065,1068
