routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.014,0.049,0.0,1032
__check_action_completion,0.0,0.002,0.0,1032
preplanner/update_percepts,0.001,0.005,0.0,1032
preplanner/needs_planning,0.0,0.0,0.0,1032
preplanner/calculate_access_opportunities,0.121,0.17,0.056,170
preplanner/_schedule_observations,0.425,0.547,0.179,170
preplanner/is_observation_path_valid,0.0,0.0,0.0,170
preplanner/_schedule_broadcasts,0.34,0.568,0.106,170
preplanner/_schedule_maneuvers,0.001,0.001,0.001,170
preplanner/__schedule_periodic_replan,0.005,0.022,0.0,170
preplanner/generate_plan,0.789,1.0,0.346,170
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,1032
replanner/update_percepts,0.007,0.027,0.0,1032
replanner/check_request_completion,0.0,0.001,0.0,1032
replanner/check_request_end_time,0.0,0.0,0.0,1032
replanner/compare_bids,0.0,0.005,0.0,1032
replanner/consensus_phase,0.0,0.005,0.0,1032
replanner/is_observation_path_valid,0.0,0.001,0.0,5746
replanner/_get_available_requests,0.171,0.215,0.104,951
replanner/needs_planning,0.157,0.205,0.065,1032
replanner/planning_phase,1.492,5.117,0.151,32
replanner/_schedule_observations,0.006,0.025,0.001,32
replanner/_schedule_maneuvers,0.016,0.026,0.006,32
replanner/_schedule_broadcasts,0.076,0.131,0.019,32
replanner/_schedule_waits,0.0,0.0,0.0,32
replanner/generate_plan,1.595,5.1,0.237,32
replanner/calc_imaging_time,0.123,0.099,0.076,30
