routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,214
__check_action_completion,0.0,0.0,0.0,214
preplanner/__get_new_requests,0.0,0.0,0.0,214
preplanner/__update_performed_requests,0.0,0.001,0.0,214
preplanner/_update_access_times,0.062,0.903,0.0,214
preplanner/needs_planning,0.0,0.0,0.0,214
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.522,0.0,0.522,1
preplanner/_schedule_broadcasts,0.402,0.379,0.402,2
preplanner/_schedule_maneuvers,0.059,0.0,0.059,1
preplanner/__schedule_periodic_replan,0.003,0.0,0.003,1
preplanner/generate_plan,1.377,0.0,1.377,1
replanner/__get_new_requests,0.0,0.0,0.0,214
replanner/__update_performed_requests,0.001,0.016,0.0,214
replanner/_update_access_times,0.255,1.859,0.0,214
replanner/_schedule_measurements,3.816,0.0,3.816,1
replanner/_schedule_broadcasts,0.226,0.096,0.226,2
replanner/_schedule_maneuvers,0.012,0.0,0.012,1
