inc [deg],num sats,num planes,num planes [norm],ta phasing param,ta phasing angle [deg],time index,time [s],num components,n components [norm],lcc,lcc [norm]
98.0,12,10,0.8333333333333334,1,30.0,0,0.0,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,1,0.8590907628291926,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,2,1.7181815256583852,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,3,2.5772722884875776,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,4,3.4363630513167704,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,5,4.295453814145963,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,6,5.154544576975155,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,7,6.013635339804348,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,8,6.872726102633541,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,9,7.731816865462734,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,10,8.590907628291927,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,11,9.449998391121119,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,12,10.30908915395031,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,13,11.168179916779504,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,14,12.027270679608696,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,15,12.88636144243789,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,16,13.745452205267082,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,17,14.604542968096274,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,18,15.463633730925467,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,19,16.32272449375466,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,20,17.181815256583853,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,21,18.040906019413043,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,22,18.899996782242237,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,23,19.75908754507143,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,24,20.61817830790062,2,0.16666666666666666,10,0.8333333333333334
98.0,12,10,0.8333333333333334,1,30.0,25,21.477269070729815,2,0.16666666666666666,10,0.8333333333333334
