routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00753,0.04941,2e-05,10142,76.36926
__check_action_completion,0.00012,0.00016,8e-05,10142,1.2170400000000001
update_action_completion,0.00103,0.00947,0.0002,10142,10.44626
get_plan_out,0.00391,0.01418,0.00025,10142,39.65522
preplanner/update_percepts,0.01192,0.03116,0.00175,10142,120.89264
preplanner/needs_planning,3e-05,0.00132,0.0,10142,0.30426000000000003
preplanner/calculate_access_opportunities,0.0051,0.0,0.0051,1,0.0051
preplanner/_schedule_observations,0.25341,0.0,0.25341,1,0.25341
preplanner/is_observation_path_valid,0.00074,0.0,0.00074,1,0.00074
preplanner/_create_broadcast_path,0.01639,0.0,0.01639,1,0.01639
preplanner/_schedule_broadcasts,0.55205,0.0,0.55205,1,0.55205
preplanner/_schedule_maneuvers,0.83685,0.0,0.83685,1,0.83685
preplanner/__schedule_periodic_replan,0.05343,0.0,0.05343,1,0.05343
preplanner/generate_plan,1.73026,0.0,1.73026,1,1.73026
replanner/needs_planning,3e-05,0.00131,0.0,10142,0.30426000000000003
replanner/_create_broadcast_path,0.06614,0.1077,0.02573,98,6.48172
reward_grid/update,0.00096,0.00914,1e-05,10143,9.73728
reward_grid/__get_target_indeces,0.0002,0.00411,1e-05,4270,0.8540000000000001
reward_grid/propagate_reward,0.0006,0.00768,4e-05,8540,5.124
reward_grid/update_observation,0.00246,0.0142,0.00014,3332,8.19672
reward_grid/update_event,0.00105,0.01145,0.00011,938,0.9848999999999999
reward_grid/get_history,0.08521,0.0,0.08521,1,0.08521
