routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,3153
update_state,0.0,0.0,0.0,3153
sense_environment,0.043,0.02,0.039,3152
update_state_environment,0.0,0.001,0.0,3152
get_environment_broadcasts,0.001,0.003,0.0,3152
get_agent_broadcasts,0.001,0.006,0.0,3152
sense,0.045,0.021,0.041,3152
think,0.03,0.039,0.026,3152
perform_broadcast,0.009,0.02,0.003,41
do,0.028,0.033,0.016,3152
perform_wait_for_messages,0.029,0.034,0.018,2798
perform_state_change,0.021,0.018,0.014,401
perform_observation,0.014,0.012,0.008,322
