routine,t_avg,t_std,t_med,n
ENVIRONMENT_wait,-1.0,0.0,-1.0,0
vis_sat_0_0_wait,0.85,4.07,0.168,7025
therm_sat_0_0_wait,0.612,3.75,0.168,7025
sar_sat_0_0_wait,0.572,3.696,0.168,7025
vis_sat_1_0_wait,0.73,3.911,0.168,7025
therm_sat_1_0_wait,0.756,3.865,0.168,7025
sar_sat_1_0_wait,0.627,3.726,0.168,7025
clock_wait,1.335,4.369,0.226,7025
sim_runtime,9380.393,0.0,9380.393,1
