routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,961
_wait_for_messages,0.0,0.0,0.0,961
_preplan,4.247,0.0,4.247,1
_get_next_actions,0.001,0.007,0.0,961
_replan,0.618,0.495,0.41,33
preplanner/__get_new_requests,0.0,0.0,0.0,961
preplanner/__update_performed_requests,0.0,0.002,0.0,961
preplanner/_calc_arrival_times,0.327,0.137,0.313,101
preplanner/__update_access_times,0.034,1.066,0.0,961
preplanner/needs_initialized_plan,0.035,1.066,0.0,961
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_plan_from_path,1.48,0.0,1.48,1
preplanner/initialize_plan,4.247,0.0,4.247,1
replanner/__update_known_requests,0.215,0.277,0.067,961
replanner/__update_performed_requests,0.0,0.003,0.0,961
replanner/_calc_arrival_times,0.391,0.183,0.4,141
replanner/__update_access_times,0.06,1.322,0.001,961
replanner/needs_replanning,0.744,1.564,0.258,961
replanner/_get_available_requests,0.003,0.016,0.0,33
replanner/_plan_from_path,0.275,0.238,0.179,33
