routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00313,0.02833,3e-05,12068,37.77284
__check_action_completion,0.00016,0.00123,9e-05,12068,1.9308800000000002
update_action_completion,0.00294,0.01899,0.00033,12068,35.47992
get_plan_out,0.00627,0.01981,0.00037,12068,75.66636000000001
preplanner/update_percepts,0.00243,0.0163,0.00015,12068,29.325239999999997
preplanner/needs_planning,7e-05,0.00221,0.0,12068,0.84476
preplanner/calculate_access_opportunities,0.04807,0.0,0.04807,1,0.04807
preplanner/_schedule_observations,0.23072,0.0,0.23072,1,0.23072
preplanner/is_observation_path_valid,0.00091,0.0,0.00091,1,0.00091
preplanner/_create_broadcast_path,0.02932,0.0,0.02932,1,0.02932
preplanner/_schedule_broadcasts,0.80613,0.0,0.80613,1,0.80613
preplanner/_schedule_maneuvers,0.33544,0.0,0.33544,1,0.33544
preplanner/__schedule_periodic_replan,0.04778,0.0,0.04778,1,0.04778
preplanner/generate_plan,1.44572,0.0,1.44572,1,1.44572
replanner/needs_planning,4e-05,0.00223,0.0,12068,0.48272000000000004
replanner/_create_broadcast_path,0.03995,0.0,0.03995,1,0.03995
reward_grid/update,0.00097,0.00999,1e-05,12069,11.70693
reward_grid/__get_target_indeces,0.00037,0.00672,1e-05,4434,1.64058
reward_grid/propagate_reward,0.00051,0.00737,3e-05,8868,4.52268
reward_grid/update_observation,0.00245,0.01592,0.00014,4433,10.86085
reward_grid/update_event,0.00575,0.0,0.00575,1,0.00575
reward_grid/get_history,0.59943,0.0,0.59943,1,0.59943
