routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,87
__check_action_completion,0.0,0.0,0.0,87
replanner/__get_new_requests,0.0,0.0,0.0,87
replanner/__update_performed_requests,0.0,0.0,0.0,87
replanner/_update_access_times,0.008,0.07,0.0,87
replanner/check_request_completion,0.0,0.0,0.0,87
replanner/check_request_end_time,0.0,0.0,0.0,87
replanner/compare_bids,0.002,0.013,0.0,87
replanner/calc_imaging_time,0.016,0.009,0.013,137
replanner/calc_path_bid,0.032,0.013,0.026,137
replanner/planning_phase,0.409,0.336,0.336,18
replanner/_schedule_broadcasts,0.003,0.0,0.003,18
replanner/_schedule_maneuvers,0.012,0.003,0.013,18
