lat [deg],lon [deg],start time [s],duration [s],severity,measurements
45.40034700000007,54.02444200000008,1200.0,6000.0,1.1137285285320409,|['visible', 'thermal', 'sar']|
-11.430954999999926,29.814500000000066,1840.0,6000.0,2.974481136353937,|['visible', 'thermal', 'sar']|
59.952780000000075,31.03285100000005,2900.0,6000.0,9.00544278169256,|['visible', 'thermal', 'sar']|
51.58786500000008,-98.72877799999998,2920.0,6000.0,8.288349759906962,|['visible', 'thermal', 'sar']|
-16.52291699999995,28.760417000000075,3490.0,6000.0,8.700076598432684,|['visible', 'thermal', 'sar']|
-14.417701999999963,35.23645800000003,4100.0,6000.0,2.337367562902184,|['visible', 'thermal', 'sar']|
11.122437000000048,-84.78190299999994,6180.0,6000.0,4.9644241288297755,|['visible', 'thermal', 'sar']|
51.58786500000008,-98.72877799999998,6680.0,6000.0,1.1676689279739794,|['visible', 'thermal', 'sar']|
-0.14092799999997396,29.602017000000046,7200.0,6000.0,5.1760703004981785,|['visible', 'thermal', 'sar']|
-15.586300999999935,32.70431800000006,7300.0,6000.0,5.490072709313386,|['visible', 'thermal', 'sar']|
-46.83972899999998,-72.80154399999998,7870.0,6000.0,9.917629969224166,|['visible', 'thermal', 'sar']|
11.573725000000024,37.407008000000076,8390.0,6000.0,5.5344658101800785,|['visible', 'thermal', 'sar']|
49.76436800000005,-94.51839899999999,9280.0,6000.0,0.3566580853254009,|['visible', 'thermal', 'sar']|
42.48541700000004,77.42708300000004,10410.0,6000.0,0.10093699664991629,|['visible', 'thermal', 'sar']|
58.36897900000008,12.368581000000063,10850.0,6000.0,4.0225141799799236,|['visible', 'thermal', 'sar']|
-2.7154319999999643,18.177779000000044,12730.0,6000.0,4.7398827405482455,|['visible', 'thermal', 'sar']|
44.90625000000006,59.71458300000006,13440.0,6000.0,8.301677222915393,|['visible', 'thermal', 'sar']|
6.3026270000000295,0.06034700000003568,14410.0,6000.0,8.410901289103133,|['visible', 'thermal', 'sar']|
68.12483000000003,87.76145800000006,15170.0,6000.0,9.60487727273552,|['visible', 'thermal', 'sar']|
23.967280000000073,32.88645800000006,15540.0,6000.0,6.511834299309217,|['visible', 'thermal', 'sar']|
75.22096900000008,100.08958300000006,16330.0,6000.0,7.68573910093466,|['visible', 'thermal', 'sar']|
60.82681800000006,-98.96528999999998,17580.0,6000.0,0.6686961427630111,|['visible', 'thermal', 'sar']|
61.22708300000005,28.781250000000057,18960.0,6000.0,1.000515603024894,|['visible', 'thermal', 'sar']|
46.335417000000064,60.95208300000007,20420.0,6000.0,0.5150738088721385,|['visible', 'thermal', 'sar']|
-9.42265999999995,-40.824116999999944,21730.0,6000.0,6.7928510496147085,|['visible', 'thermal', 'sar']|
61.22708300000005,28.781250000000057,22860.0,6000.0,7.5779587641347534,|['visible', 'thermal', 'sar']|
-8.491501999999969,28.878979000000072,23870.0,6000.0,0.7465351327438541,|['visible', 'thermal', 'sar']|
11.122437000000048,-84.78190299999994,24960.0,6000.0,0.39185558250423247,|['visible', 'thermal', 'sar']|
53.77057800000006,127.30685400000004,25540.0,6000.0,0.7708096759371408,|['visible', 'thermal', 'sar']|
59.952780000000075,31.03285100000005,27350.0,6000.0,4.825850765828637,|['visible', 'thermal', 'sar']|
58.81196500000004,-102.75755599999997,28730.0,6000.0,5.618230529679471,|['visible', 'thermal', 'sar']|
-16.52291699999995,28.760417000000075,28910.0,6000.0,3.3623637441952847,|['visible', 'thermal', 'sar']|
49.655849000000046,83.34758000000005,31570.0,6000.0,6.9391618397237504,|['visible', 'thermal', 'sar']|
45.40034700000007,54.02444200000008,31960.0,6000.0,1.143025864681263,|['visible', 'thermal', 'sar']|
59.33188900000005,-155.88453799999996,32280.0,6000.0,0.3818100195952179,|['visible', 'thermal', 'sar']|
49.08115500000008,33.24733700000007,34340.0,6000.0,3.3670627347026882,|['visible', 'thermal', 'sar']|
-28.427082999999982,137.20625000000007,36410.0,6000.0,9.132750216152864,|['visible', 'thermal', 'sar']|
58.53226700000005,15.039006000000029,36740.0,6000.0,7.023066333461497,|['visible', 'thermal', 'sar']|
68.12483000000003,87.76145800000006,36840.0,6000.0,3.8266660055010493,|['visible', 'thermal', 'sar']|
60.82681800000006,-98.96528999999998,37830.0,6000.0,8.945886684890851,|['visible', 'thermal', 'sar']|
-31.685416999999973,136.08125000000007,38010.0,6000.0,4.57985674435249,|['visible', 'thermal', 'sar']|
52.23439300000007,104.32187500000003,38300.0,6000.0,1.0557012520452136,|['visible', 'thermal', 'sar']|
49.30787300000003,-88.30937099999994,38720.0,6000.0,3.5899412531069674,|['visible', 'thermal', 'sar']|
-31.25208299999997,137.8604170000001,39910.0,6000.0,0.4925754250835612,|['visible', 'thermal', 'sar']|
