routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.004,0.022,0.0,11955
__check_action_completion,0.0,0.0,0.0,11955
preplanner/update_percepts,0.001,0.006,0.001,11955
preplanner/needs_planning,0.0,0.0,0.0,11955
preplanner/calculate_access_times,0.37,0.0,0.37,1
preplanner/_schedule_observations,0.917,0.0,0.917,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,66.022,0.0,66.022,1
preplanner/_schedule_maneuvers,0.795,0.0,0.795,1
preplanner/__schedule_periodic_replan,0.754,0.0,0.754,1
preplanner/generate_plan,69.328,0.0,69.328,1
replanner/needs_planning,0.0,0.0,0.0,11955
