Satellite states as KEPLERIAN_EARTH_CENTERED_INERTIAL elements.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291932
Mission Duration [Days] is 0.03321077886481061
time index,sma [km],ecc,inc [deg],raan [deg],aop [deg],ta [deg]
0,6928.0,0.0009999999999999879,98.0,360.0,0.0,276.92307692305155
1,6928.000000000002,0.0010000000000000115,98.0,1.0316186218701491e-05,359.99996649550275,276.97694687918107
2,6927.999999999999,0.0009999999999999718,98.0,2.063237243740307e-05,359.9999330073246,277.0308169358008
3,6928.0,0.0010000000000008698,98.0,3.09721026371867e-05,359.99989950826676,277.084687092965
4,6928.000000000001,0.000999999999999089,98.0,4.1300059168711e-05,359.99986601192904,277.1385573506642
5,6928.0,0.0009999999999999835,98.0,5.161624840753642e-05,359.9998325188556,277.19242770882556
6,6928.0,0.0010000000000009344,98.0,6.193832123681555e-05,359.99979902016037,277.24629816748603
7,6927.999999999997,0.0009999999999999783,98.0,7.22687998425147e-05,359.9997655260247,277.3001687266306
8,6928.0,0.0009999999999999747,98.0,8.258246685344818e-05,359.9997320292984,277.3540393862529
9,6927.999999999997,0.000999999999999974,98.0,9.29084625695607e-05,359.9996985344719,277.4079101463127
10,6928.0,0.0010000000000008912,98.0,0.00010323249681508333,359.999665036623,277.46178100683613
11,6928.000000000002,0.001000000000000868,98.0,0.00011355510458148111,359.9996315395435,277.5156519677794
12,6927.999999999999,0.0010000000000000174,98.0,0.00012387958459723436,359.9995980439477,277.56952302913544
13,6927.999999999997,0.0009999999999990444,98.0,0.00013420550476449526,359.9995645478192,277.6233941908949
14,6928.000000000003,0.001000000000000939,98.0,0.00014452751296885303,359.9995310528267,277.67726545307426
15,6928.000000000002,0.0010000000000009424,98.0,0.00015484874522265119,359.99949755366515,277.7311368156098
16,6928.000000000001,0.001000000000000894,98.0,0.00016517155358818523,359.99946405927693,277.78500827852355
17,6927.999999999996,0.0009999999999999725,98.0,0.00017549565994085932,359.9994305630592,277.8388798417671
