routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.017,0.0,7166
update_state,0.0,0.0,0.0,7166
sense_environment,0.187,0.117,0.171,7165
update_state_environment,0.003,0.015,0.0,7165
get_environment_broadcasts,0.007,0.023,0.0,7165
get_agent_broadcasts,0.046,0.073,0.0,7165
sense,0.247,0.14,0.227,7165
think,0.391,1.815,0.302,7165
perform_broadcast,0.007,0.025,0.0,1256
do,0.14,0.155,0.095,7165
perform_wait_for_messages,0.133,0.16,0.079,5909
perform_state_change,0.14,0.145,0.092,964
perform_observation,0.162,0.117,0.138,1230
