routine,t_avg,t_std,t_med,n,t_total
get_current_time,0.0,0.0,0.0,133882,0.0
get_updated_orbit_state,0.002,0.002,0.002,3295,6.59
update_agent_state,0.001,0.002,0.0,9227,9.227
check_agent_connectivity,0.0,0.0,0.0,64589,0.0
update_agent_connectivity,0.0,0.0,0.0,9227,0.0
handle_agent_state,0.001,0.002,0.0,9227,9.227
vis_sat_1_1,0.002,0.004,0.002,1211,2.422
handle_agent_request,0.004,0.005,0.002,9687,38.748
handle_request,0.003,0.005,0.002,11217,33.651
therm_sat_0_0,0.003,0.004,0.002,1259,3.777
vis_sat_1_0,0.003,0.004,0.002,1173,3.519
sar_sat_0_0,0.003,0.004,0.002,1237,3.7110000000000003
vis_sat_0_0,0.003,0.004,0.002,1265,3.795
therm_sat_1_0,0.003,0.004,0.002,1160,3.48
sar_sat_1_0,0.002,0.004,0.002,1144,2.2880000000000003
vis_sat_0_1,0.002,0.004,0.002,1238,2.476
handle_agent_broadcast,0.0,0.001,0.0,640,0.0
handle_manager_broadcast,0.001,0.001,0.0,890,0.89
query_measurement_data,0.001,0.001,0.0,460,0.46
handle_observation,0.003,0.002,0.002,460,1.3800000000000001
