routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,968
update_state,0.0,0.0,0.0,968
sense_environment,0.528,0.449,0.441,967
update_state_environment,0.0,0.0,0.0,967
get_environment_broadcasts,0.0,0.0,0.0,967
get_agent_broadcasts,0.0,0.0,0.0,967
sense,0.529,0.449,0.441,967
think,0.945,2.711,0.367,967
perform_state_change,0.528,0.539,0.393,758
do,0.446,0.543,0.247,967
perform_measurement,0.213,0.188,0.17,27
perform_broadcast,0.001,0.0,0.001,2
perform_wait_for_messages,0.111,0.155,0.058,228
