observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_sat_0_0,80.0,4.0,-96.9,660.2,-16.74,18.45,84.84,visual
therm_sat_0_0,90.0,66.8,3.5,707.6,3.76,4.18,,thermal
therm_sat_0_0,170.0,63.7,13.6,726.4,-10.89,12.12,,thermal
vis_sat_0_1,310.0,-61.9,-148.0,705.2,-15.63,17.34,44.69,visual
therm_sat_0_0,580.0,48.2,46.8,753.9,-10.42,11.65,,thermal
therm_sat_0_0,590.0,47.3,47.0,765.8,-13.93,15.59,,thermal
therm_sat_0_0,650.0,45.9,53.2,757.9,10.31,11.53,,thermal
vis_sat_0_0,690.0,38.5,-83.3,647.6,1.14,1.26,,visual
vis_sat_0_1,720.0,-42.0,-123.6,667.6,-12.44,13.73,51.83,visual
vis_sat_0_1,780.0,-38.5,-122.4,649.8,-4.93,5.43,52.92,visual
vis_sat_0_0,790.0,44.2,-79.6,654.4,3.7,4.08,,visual
therm_sat_0_0,910.0,32.7,61.5,766.0,8.11,9.09,,thermal
therm_sat_0_0,980.0,29.2,63.9,780.2,12.23,13.71,,thermal
sar_sat_0_0,990.0,-51.6,110.7,750.7,10.87,12.14,57.33,sar
vis_sat_0_0,990.0,52.4,-66.9,697.9,-16.75,18.56,,visual
sar_sat_0_0,1060.0,-56.5,110.7,763.0,-15.73,17.59,57.59,sar
vis_sat_0_1,1120.0,-18.8,-115.2,666.5,17.17,18.94,63.73,visual
sar_sat_0_0,1160.0,-59.3,121.0,724.5,1.54,1.71,52.66,sar
vis_sat_0_1,1220.0,-14.1,-111.3,632.1,-2.52,2.77,69.14,visual
vis_sat_0_0,1420.0,67.4,-22.6,698.9,5.02,5.57,,visual
sar_sat_0_0,1430.0,-66.8,152.1,705.8,-3.35,3.72,46.03,sar
therm_sat_0_0,1430.0,2.9,70.5,804.7,-15.81,17.78,,thermal
vis_sat_0_0,1450.0,65.7,-18.4,714.3,-11.57,12.85,,visual
sar_sat_0_0,1460.0,-65.9,157.2,711.5,8.76,9.74,44.29,sar
vis_sat_0_1,1460.0,0.1,-107.5,644.1,11.83,13.02,78.84,visual
vis_sat_0_0,1590.0,66.8,3.5,720.5,9.86,10.97,,visual
vis_sat_0_0,1680.0,63.7,13.6,715.3,-0.09,0.11,,visual
sar_sat_0_0,1890.0,-56.2,-151.7,697.7,15.16,16.8,42.04,sar
sar_sat_0_0,1970.0,-53.7,-144.1,665.9,2.08,2.3,44.62,sar
sar_sat_0_0,2090.0,-47.3,-138.7,675.5,12.52,13.83,45.95,sar
vis_sat_0_0,2100.0,47.3,47.0,775.8,15.7,17.59,,visual
therm_sat_0_0,2130.0,-34.6,86.0,774.0,-11.77,13.19,73.95,thermal
therm_sat_0_0,2250.0,-40.5,91.3,750.4,-2.12,2.37,68.0,thermal
vis_sat_0_0,2320.0,34.6,52.6,756.4,-3.2,3.58,,visual
vis_sat_0_0,2380.0,31.7,54.0,760.5,-4.62,5.17,,visual
vis_sat_0_0,2410.0,29.9,54.6,764.7,-6.59,7.38,,visual
vis_sat_0_1,2460.0,54.9,-77.1,692.9,15.34,16.99,,visual
therm_sat_0_0,2590.0,-57.0,108.6,731.2,-4.14,4.62,55.36,thermal
vis_sat_0_0,2660.0,17.0,62.0,771.3,5.65,6.33,,visual
sar_sat_0_0,2660.0,-17.0,-119.5,637.1,6.37,7.0,66.19,sar
sar_sat_0_0,2740.0,-13.0,-117.0,631.9,-2.81,3.09,70.09,sar
vis_sat_0_1,2930.0,67.4,-22.6,701.6,4.27,4.74,,visual
sar_sat_0_0,2970.0,-0.3,-111.0,656.6,-15.86,17.47,81.24,sar
therm_sat_0_0,2970.0,-66.8,152.1,701.8,1.43,1.59,44.94,thermal
therm_sat_0_0,3000.0,-65.9,157.2,711.2,9.98,11.08,43.43,thermal
vis_sat_0_1,3090.0,66.8,3.5,750.0,17.49,19.51,,visual
vis_sat_0_1,3180.0,63.7,13.6,737.7,12.59,14.04,,visual
therm_sat_0_0,3290.0,-61.0,-166.2,682.5,6.34,7.02,42.19,thermal
vis_sat_0_1,3330.0,56.3,24.6,733.5,-6.34,7.07,,visual
sar_sat_0_0,3360.0,22.6,-104.3,635.8,2.12,2.34,,sar
therm_sat_0_0,3410.0,-56.8,-154.4,669.9,-1.92,2.12,44.02,thermal
therm_sat_0_0,3430.0,-56.2,-151.7,676.8,-8.72,9.65,45.02,thermal
vis_sat_0_1,3460.0,51.0,32.7,739.7,-4.52,5.05,,visual
therm_sat_0_0,3480.0,-52.7,-151.7,684.8,13.19,14.6,43.47,thermal
vis_sat_0_1,3580.0,45.4,39.3,744.4,-0.63,0.71,,visual
sar_sat_0_0,3640.0,38.4,-98.2,675.6,15.99,17.66,,sar
vis_sat_0_0,3670.0,-38.4,83.3,754.8,-4.59,5.14,70.05,visual
therm_sat_0_0,3700.0,-42.1,-139.7,660.1,8.83,9.74,49.1,thermal
sar_sat_0_0,3760.0,43.8,-90.7,659.0,-7.25,8.0,,sar
vis_sat_0_1,3790.0,34.3,47.1,756.1,2.41,2.7,,visual
vis_sat_0_1,3820.0,32.9,47.4,757.9,-3.01,3.36,,visual
vis_sat_0_1,3840.0,31.1,46.1,797.4,-17.15,19.26,,visual
therm_sat_0_0,3880.0,-33.4,-131.5,650.9,-8.79,9.69,56.38,thermal
vis_sat_0_0,3920.0,-50.0,95.3,743.6,6.74,7.52,59.3,visual
vis_sat_0_0,3950.0,-51.6,97.3,742.2,7.04,7.86,57.99,visual
sar_sat_0_0,4000.0,54.9,-77.1,681.0,-10.58,11.71,,sar
therm_sat_0_0,4030.0,-24.9,-127.3,646.5,-9.56,10.52,62.11,thermal
therm_sat_0_0,4050.0,-23.3,-128.9,646.8,10.0,11.01,61.16,thermal
vis_sat_0_0,4050.0,-56.6,101.9,731.0,-3.69,4.12,55.62,visual
sar_sat_0_0,4080.0,60.0,-73.9,690.0,11.86,13.13,,sar
vis_sat_0_1,4100.0,17.9,55.4,770.2,5.31,5.95,,visual
vis_sat_0_0,4100.0,-57.0,108.6,758.9,16.05,17.93,52.04,visual
vis_sat_0_1,4120.0,17.2,56.6,785.2,11.68,13.11,,visual
vis_sat_0_0,4190.0,-63.3,112.5,749.2,-15.32,17.1,52.34,visual
sar_sat_0_0,4220.0,64.3,-58.8,687.2,5.48,6.07,,sar
vis_sat_0_1,4310.0,5.5,57.3,802.9,-15.51,17.43,,visual
therm_sat_0_0,4440.0,-0.9,-120.6,647.0,12.89,14.18,77.81,thermal
vis_sat_0_0,4470.0,-66.8,152.1,699.4,2.28,2.53,44.21,visual
sar_sat_0_0,4470.0,67.4,-22.6,705.2,4.85,5.39,,sar
sar_sat_0_0,4500.0,65.7,-18.4,712.9,-8.31,9.23,,sar
therm_sat_0_0,4510.0,2.4,-117.6,631.4,-4.57,5.02,82.15,thermal
vis_sat_0_0,4510.0,-65.9,157.2,705.1,8.87,9.84,42.96,visual
vis_sat_0_0,4790.0,-61.0,-166.2,690.1,-11.29,12.51,44.22,visual
vis_sat_0_1,4820.0,-21.6,68.7,766.8,-3.97,4.44,83.43,visual
sar_sat_0_0,4860.0,55.5,20.4,731.7,-3.12,3.48,,sar
sar_sat_0_0,4880.0,56.3,24.6,767.2,16.51,18.47,,sar
sar_sat_0_0,4950.0,52.0,26.7,737.4,2.81,3.14,,sar
therm_sat_0_0,4970.0,28.9,-108.1,642.2,5.28,5.81,,thermal
vis_sat_0_0,4980.0,-52.7,-151.7,686.3,-14.4,15.93,46.95,visual
vis_sat_0_1,5030.0,-32.6,75.0,758.7,3.69,4.13,73.68,visual
vis_sat_0_1,5070.0,-34.5,75.9,756.1,2.68,3.0,72.29,visual
sar_sat_0_0,5120.0,42.8,33.7,754.5,-7.82,8.74,,sar
vis_sat_0_1,5170.0,-40.6,77.4,766.7,-11.26,12.6,69.27,visual
vis_sat_0_1,5210.0,-40.9,82.4,779.1,15.32,17.17,65.37,visual
vis_sat_0_1,5230.0,-42.5,82.0,752.6,6.68,7.46,65.34,visual
therm_sat_0_0,5260.0,43.4,-96.8,665.6,-10.57,11.66,,thermal
therm_sat_0_0,5320.0,46.3,-93.5,679.3,-14.13,15.62,,thermal
sar_sat_0_0,5350.0,31.7,43.3,765.0,7.33,8.21,,sar
therm_sat_0_0,5360.0,49.4,-94.3,664.1,6.74,7.44,,thermal
therm_sat_0_0,5390.0,50.1,-90.5,669.5,-8.73,9.64,,thermal
sar_sat_0_0,5400.0,28.8,44.5,764.9,6.11,6.84,,sar
vis_sat_0_0,5470.0,-25.6,-136.0,646.2,8.99,9.9,59.57,visual
vis_sat_0_1,5550.0,-56.6,101.9,763.3,16.83,18.81,52.27,visual
therm_sat_0_0,5620.0,60.0,-73.9,682.5,-7.29,8.07,,thermal
vis_sat_0_1,5630.0,-62.1,105.2,734.3,-10.29,11.47,52.38,visual
therm_sat_0_0,5650.0,61.1,-71.6,682.2,-5.6,6.19,,thermal
vis_sat_0_1,5690.0,-63.3,112.5,717.6,-2.45,2.72,49.88,visual
therm_sat_0_0,5760.0,64.3,-58.8,690.8,-6.03,6.68,,thermal
sar_sat_0_0,5840.0,5.4,54.2,781.3,9.07,10.18,,sar
vis_sat_0_1,5980.0,-66.8,152.1,695.6,1.64,1.82,43.81,visual
vis_sat_0_1,6010.0,-65.9,157.2,696.8,5.66,6.27,42.86,visual
therm_sat_0_0,6010.0,67.4,-22.6,713.2,8.12,9.03,,thermal
therm_sat_0_0,6040.0,65.7,-18.4,709.2,-3.77,4.19,,thermal
sar_sat_0_0,6100.0,-8.6,59.5,789.0,12.04,13.52,,sar
sar_sat_0_0,6260.0,-19.0,59.8,796.8,-14.99,16.84,86.95,sar
sar_sat_0_0,6290.0,-20.2,61.7,769.4,-5.41,6.06,84.73,sar
therm_sat_0_0,6510.0,47.9,21.5,763.3,-13.39,14.98,,thermal
vis_sat_0_1,6530.0,-47.3,-155.5,658.0,2.94,3.24,47.07,visual
therm_sat_0_0,6630.0,43.1,28.4,747.8,-2.25,2.51,,thermal
vis_sat_0_1,6660.0,-41.5,-147.7,677.2,-15.58,17.22,52.29,visual
vis_sat_0_1,6730.0,-37.5,-145.7,662.3,-12.11,13.36,54.13,visual
sar_sat_0_0,6750.0,-43.4,76.5,752.5,7.19,8.03,64.6,sar
sar_sat_0_0,6850.0,-48.5,81.3,746.7,7.28,8.13,60.5,sar
vis_sat_0_1,6870.0,-28.9,-144.9,674.0,17.45,19.26,56.25,visual
therm_sat_0_0,6880.0,29.0,35.1,785.9,-14.15,15.87,,thermal
vis_sat_0_1,6920.0,-27.3,-140.8,646.6,-8.99,9.89,60.28,visual
vis_sat_0_0,7000.0,58.7,-90.4,703.8,16.78,18.61,,visual
therm_sat_0_0,7010.0,23.3,40.4,766.2,4.21,4.71,,thermal
vis_sat_0_1,7050.0,-19.1,-139.0,638.3,6.53,7.18,64.45,visual
sar_sat_0_0,7060.0,-59.1,92.5,735.1,-8.47,9.44,54.53,sar
vis_sat_0_0,7060.0,60.8,-85.6,700.4,14.76,16.36,,visual
sar_sat_0_0,7180.0,-62.1,105.2,721.0,5.26,5.85,49.69,sar
vis_sat_0_0,7190.0,64.0,-69.9,684.3,1.27,1.4,,visual
sar_sat_0_0,7240.0,-65.1,111.3,718.3,-6.45,7.18,49.09,sar
therm_sat_0_0,7240.0,10.4,45.5,772.2,4.7,5.27,,thermal
vis_sat_0_0,7270.0,64.3,-58.8,714.9,-14.37,15.97,,visual
