routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,1718
_wait_for_messages,0.0,0.0,0.0,1718
_preplan,0.075,0.089,0.031,24
_get_next_actions,0.0,0.001,0.0,1718
_replan,0.049,0.019,0.058,5
preplanner/__get_new_requests,0.0,0.0,0.0,1718
preplanner/__update_performed_requests,0.0,0.001,0.0,1718
preplanner/_calc_arrival_times,0.25,0.079,0.238,1649
preplanner/__update_access_times,0.241,2.226,0.0,1718
preplanner/needs_initialized_plan,0.241,2.226,0.0,1718
preplanner/_get_available_requests,0.0,0.0,0.0,24
preplanner/_plan_from_path,0.038,0.045,0.028,24
preplanner/initialize_plan,0.075,0.089,0.031,24
replanner/__update_known_requests,0.006,0.01,0.002,1718
replanner/__update_performed_requests,0.0,0.001,0.0,1718
replanner/_calc_arrival_times,0.271,1.127,0.237,1691
replanner/__update_access_times,0.268,2.567,0.001,1718
replanner/needs_replanning,0.294,2.573,0.012,1718
replanner/_get_available_requests,0.0,0.0,0.0,5
replanner/_plan_from_path,0.039,0.019,0.032,5
