routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,491
update_state,0.0,0.0,0.0,491
sense_environment,0.045,0.024,0.038,490
update_state_environment,0.0,0.0,0.0,490
get_environment_broadcasts,0.0,0.0,0.0,490
get_agent_broadcasts,0.0,0.0,0.0,490
sense,0.045,0.024,0.039,490
think,0.19,3.393,0.025,490
perform_state_change,0.071,0.063,0.066,1819
do,0.271,0.353,0.101,490
perform_measurement,0.018,0.018,0.011,85
perform_wait_for_messages,0.049,0.035,0.031,44
perform_broadcast,0.001,0.001,0.0,8
