routine,t_avg,t_std,t_med,n,t_total
ENVIRONMENT_wait,-1.0,0.0,-1.0,0,0.0
vis_sat_0_0_wait,0.753,0.524,0.629,8270,6227.31
therm_sat_0_0_wait,0.735,0.528,0.611,8270,6078.45
sar_sat_0_0_wait,0.735,0.524,0.608,8270,6078.45
vis_sat_0_1_wait,0.748,0.531,0.624,8270,6185.96
vis_sat_1_0_wait,0.74,0.53,0.614,8270,6119.8
therm_sat_1_0_wait,0.742,0.529,0.617,8270,6136.34
sar_sat_1_0_wait,0.745,0.533,0.615,8270,6161.15
vis_sat_1_1_wait,0.755,0.532,0.629,8270,6243.85
vis_sat_2_0_wait,0.752,0.525,0.629,8270,6219.04
therm_sat_2_0_wait,0.745,0.529,0.621,8270,6161.15
sar_sat_2_0_wait,0.747,0.529,0.618,8270,6177.69
vis_sat_2_1_wait,0.745,0.525,0.617,8270,6161.15
clock_wait,0.898,0.541,0.768,8270,7426.46
sim_runtime,7427.08,0.0,7427.08,1,7427.08
sim_wait,7427.08,0.0,7427.08,1,7427.08
_execute,7427.149,0.0,7427.149,1,7427.149
