routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.018,0.0,231
update_state,0.0,0.0,0.0,231
sense_environment,0.168,0.082,0.167,230
update_state_environment,0.003,0.015,0.0,230
get_environment_broadcasts,0.0,0.0,0.0,230
get_agent_broadcasts,0.0,0.0,0.0,230
sense,0.174,0.082,0.175,230
think,0.156,1.181,0.058,230
perform_wait_for_messages,0.144,0.485,0.098,216
perform_state_change,0.147,0.51,0.098,196
do,0.138,0.472,0.088,230
perform_measurement,0.048,0.026,0.044,14
