routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00041,0.00183,2e-05,2397
__check_action_completion,6e-05,1e-05,6e-05,2397
preplanner/update_percepts,7e-05,3e-05,7e-05,2397
preplanner/needs_planning,0.0,0.0,0.0,2397
preplanner/calculate_access_opportunities,0.04384,0.0,0.04384,1
preplanner/_schedule_observations,0.11789,0.0,0.11789,1
preplanner/is_observation_path_valid,0.00055,0.0,0.00055,1
preplanner/_create_broadcast_path,0.00707,0.0,0.00707,1
preplanner/_schedule_broadcasts,0.04331,0.0,0.04331,1
preplanner/_schedule_maneuvers,0.08237,0.0,0.08237,1
preplanner/__schedule_periodic_replan,0.00363,0.0,0.00363,1
preplanner/generate_plan,0.25641,0.0,0.25641,1
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,2397
replanner/update_percepts,0.00041,0.00107,0.00016,2397
replanner/check_request_completion,0.21065,9.97513,0.00442,2397
replanner/check_request_end_time,0.0,0.0,0.0,2397
replanner/compare_bids,0.00419,0.00596,0.00154,2397
replanner/consensus_phase,0.21486,9.9751,0.00847,2397
replanner/is_observation_path_valid,2e-05,5e-05,1e-05,5037
replanner/is_task_path_valid,2e-05,0.0,2e-05,2399
replanner/needs_planning,0.2149,9.9751,0.00851,2397
replanner/_get_available_requests,3e-05,1e-05,3e-05,280
replanner/_generate_bids_from_request,3e-05,2e-05,3e-05,2
replanner/_get_matching_request,1e-05,0.0,1e-05,240
replanner/_can_bid,1e-05,0.0,1e-05,236
replanner/planning_phase,9e-05,0.0,9e-05,1
replanner/merge_plans,0.05715,0.0,0.05715,1
replanner/_schedule_observations,0.05758,0.0,0.05758,1
replanner/_schedule_maneuvers,0.04043,0.0,0.04043,1
replanner/_create_broadcast_path,0.00641,0.00041,0.00641,2
replanner/_schedule_broadcasts,0.01368,0.0,0.01368,1
replanner/_schedule_waits,1e-05,0.0,1e-05,1
replanner/generate_plan,0.11601,0.0,0.11601,1
