routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00035,0.00192,1e-05,1031
__check_action_completion,6e-05,1e-05,6e-05,1031
preplanner/update_percepts,4e-05,2e-05,3e-05,1031
preplanner/needs_planning,0.0,0.0,0.0,1031
preplanner/calculate_access_opportunities,0.00095,0.0,0.00095,1
preplanner/_schedule_observations,0.02965,0.0,0.02965,1
preplanner/is_observation_path_valid,0.00014,0.0,0.00014,1
preplanner/_create_broadcast_path,0.00687,0.0,0.00687,1
preplanner/_schedule_broadcasts,0.03275,0.0,0.03275,1
preplanner/_schedule_maneuvers,0.05725,0.0,0.05725,1
preplanner/__schedule_periodic_replan,0.00106,0.0,0.00106,1
preplanner/generate_plan,0.13218,0.0,0.13218,1
replanner/compile_new_measurement_request_bids,1e-05,0.0,0.0,1031
replanner/update_percepts,0.00012,0.00016,8e-05,1031
replanner/check_request_completion,0.00841,0.00828,0.00532,1031
replanner/check_request_end_time,0.0,0.0,0.0,1031
replanner/compare_bids,0.00453,0.00633,0.00217,1031
replanner/consensus_phase,0.01296,0.01086,0.00894,1031
replanner/needs_planning,0.01297,0.01086,0.00895,1031
replanner/_get_available_requests,5e-05,5e-05,4e-05,73
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,6
replanner/_get_matching_request,1e-05,0.0,1e-05,134
replanner/_can_bid,1e-05,0.0,1e-05,122
replanner/_schedule_maneuvers,0.01133,0.01113,0.00357,3
replanner/_create_broadcast_path,0.00698,0.00098,0.00689,4
replanner/_schedule_broadcasts,0.00958,0.0024,0.00851,3
replanner/_schedule_waits,0.0,0.0,0.0,3
replanner/generate_plan,0.02235,0.01102,0.01745,3
replanner/_can_access,0.00026,5e-05,0.00026,2
